Class Complexity,Class Complexity 20,Number of Graphs,Mean Nodes,Sd Nodes,Sum Nodes,Min Nodes,Max Nodes,Mean Edges,Sd Edges,Sum Edges,Min Edges,Max Edges,Mean Radius,Sd Radius,Sum Radius,Min Radius,Max Radius,Mean Diameter,Sd Diameter,Sum Diameter,Min Diameter,Max Diameter,Mean CenterSize,Sd CenterSize,Sum CenterSize,Min CenterSize,Max CenterSize,Mean PeripherySize,Sd PeripherySize,Sum PeripherySize,Min PeripherySize,Max PeripherySize,Mean AvrShortestPath,Sd AvrShortestPath,Sum AvrShortestPath,Min AvrShortestPath,Max AvrShortestPath,Mean EigenLargestLap,Sd EigenLargestLap,Sum EigenLargestLap,Min EigenLargestLap,Max EigenLargestLap,Mean EigenSecondLargestLap,Sd EigenSecondLargestLap,Sum EigenSecondLargestLap,Min EigenSecondLargestLap,Max EigenSecondLargestLap,Mean AlgebraicConnectivity,Sd AlgebraicConnectivity,Sum AlgebraicConnectivity,Min AlgebraicConnectivity,Max AlgebraicConnectivity,Mean EigenSmallestNonZeroLap,Sd EigenSmallestNonZeroLap,Sum EigenSmallestNonZeroLap,Min EigenSmallestNonZeroLap,Max EigenSmallestNonZeroLap,Mean EigenGapLap,Sd EigenGapLap,Sum EigenGapLap,Min EigenGapLap,Max EigenGapLap,Mean EigenLargestAdj,Sd EigenLargestAdj,Sum EigenLargestAdj,Min EigenLargestAdj,Max EigenLargestAdj,Mean EigenSecondLargestAdj,Sd EigenSecondLargestAdj,Sum EigenSecondLargestAdj,Min EigenSecondLargestAdj,Max EigenSecondLargestAdj,Mean EigenSmallestAdj,Sd EigenSmallestAdj,Sum EigenSmallestAdj,Min EigenSmallestAdj,Max EigenSmallestAdj,Mean EigenSecondSmallestAdj,Sd EigenSecondSmallestAdj,Sum EigenSecondSmallestAdj,Min EigenSecondSmallestAdj,Max EigenSecondSmallestAdj,Mean EigenGapAdj,Sd EigenGapAdj,Sum EigenGapAdj,Min EigenGapAdj,Max EigenGapAdj,Mean EigenStdDevAdj,Sd EigenStdDevAdj,Sum EigenStdDevAdj,Min EigenStdDevAdj,Max EigenStdDevAdj,Mean Energy,Sd Energy,Sum Energy,Min Energy,Max Energy,Mean NodeMean,Sd NodeMean,Sum NodeMean,Min NodeMean,Max NodeMean,Mean NodeMedian,Sd NodeMedian,Sum NodeMedian,Min NodeMedian,Max NodeMedian,Mean NodeStDev,Sd NodeStDev,Sum NodeStDev,Min NodeStDev,Max NodeStDev,Mean MaxDegree,Sd MaxDegree,Sum MaxDegree,Min MaxDegree,Max MaxDegree,Mean MinDegree,Sd MinDegree,Sum MinDegree,Min MinDegree,Max MinDegree,Mean Density,Sd Density,Sum Density,Min Density,Max Density,Mean EdgeConnectivity,Sd EdgeConnectivity,Sum EdgeConnectivity,Min EdgeConnectivity,Max EdgeConnectivity,Mean AvrNodeConnectivity,Sd AvrNodeConnectivity,Sum AvrNodeConnectivity,Min AvrNodeConnectivity,Max AvrNodeConnectivity,Mean ClusteringCoef,Sd ClusteringCoef,Sum ClusteringCoef,Min ClusteringCoef,Max ClusteringCoef,Mean Transitivity,Sd Transitivity,Sum Transitivity,Min Transitivity,Max Transitivity
0.8,0.6,5,97.4,63.06583861,487,7,181,119.6,77.33239942,598,6,224,24.6,14.63898904,123,3,41,49.2,29.27797807,246,6,82,1,0,5,1,1,2.2,0.447213595,11,2,3,16.46463354,10.48207598,82.32316768,2.666666667,29.25561694,17.15988594,13.77127281,85.79942969,3.801937736,39.00285028,7.875237932,4.408160326,39.37618966,3.246979604,15.07692308,0.041855509,0.087331352,0.209277546,0.001297129,0.198062264,0.041855509,0.087331352,0.209277546,0.001297129,0.198062264,9.284648006,13.87203049,46.42324003,0.010889171,33.06397598,5.149263875,2.394977362,25.74631937,1.847759065,7.551685005,2.810634631,0.925278962,14.05317315,1.414213562,3.593581241,-3.78451981,1.674689945,-18.92259905,-5.745776326,-1.847759065,-2.153463756,0.419822352,-10.76731878,-2.411270024,-1.414213562,2.338629244,2.123047215,11.69314622,0.433545503,4.997152418,1.551939898,0.118669622,7.759699492,1.414213562,1.728483243,1.299052009,0.089298148,6.495260043,1.150668426,1.387805692,2.34393623,0.452375543,11.71968115,1.714285714,2.951219512,2,0,10,2,2,1.736481118,1.387729507,8.682405591,0.487950036,3.984235723,15.6,13.97497764,78,2,38,1,0,5,1,1,0.075847202,0.117630998,0.379236011,0.013750767,0.285714286,1,0,5,1,1,1.065492999,0.102224016,5.327464996,1,1.246010238,0.107938102,0.107457448,0.53969051,0,0.275066787,0.140560482,0.083653692,0.702802411,0,0.202702703
0.6,0.4,5,74.2,48.0853408,371,14,120,111.6,89.05784637,558,13,215,11,3.605551275,55,7,16,21,6.244997998,105,13,28,1.4,0.547722558,7,1,2,2.6,0.894427191,13,2,4,6.604264601,3.363185562,33.021323,4.357703081,12.42729567,38.97263436,46.04353888,194.8631718,3.949855824,97.00032903,5.430727286,1.334600411,27.15363643,3.801937736,7.249430016,0.020754551,0.018576607,0.103772757,0.006902343,0.050144176,0.020754551,0.018576607,0.103772757,0.006902343,0.050144176,33.54190707,45.71984914,167.7095354,0.147918089,91.45340689,5.749102064,4.324313095,28.74551032,1.956295201,10.85651267,2.364442574,0.600028142,11.82221287,1.827090915,3.392776029,-4.757225881,3.385380166,-23.78612941,-8.857465491,-1.956295201,-2.166089734,0.225522933,-10.83044867,-2.392608615,-1.827090915,3.384659491,4.393868819,16.92329745,0.129204286,8.65582407,1.634239491,0.236693592,8.171197455,1.414213562,1.900906462,1.32654012,0.078928047,6.632700601,1.223824605,1.405164001,2.655900425,0.822472452,13.27950212,1.857142857,3.583333333,2.4,0.547722558,12,2,3,3.551669843,4.131801005,17.75834922,0.36313652,8.524392419,37.6,46.39288739,188,2,96,1,0,5,1,1,0.059657375,0.049793373,0.298286874,0.022519899,0.142857143,1,0,5,1,1,1.463239781,0.297723961,7.316198906,1,1.690616247,0.216128198,0.268194398,1.08064099,0,0.518230994,0.055153311,0.060892327,0.275766553,0,0.147540984
0.571428571,0.571428571,7,33.57142857,10.08062734,235,19,45,47.42857143,23.80376121,332,18,74,8.142857143,2.267786838,57,6,12,15,4.082482905,105,12,23,2.571428571,2.878491669,18,1,9,2.285714286,0.755928946,16,2,4,5.064389437,1.993998749,35.45072606,3.512121212,8.333333333,17.2171109,12.54634632,120.5197763,3.972722607,31.0034585,4.981362465,0.866749527,34.86953725,3.891634483,5.831135817,0.051226312,0.020572615,0.358584181,0.017110277,0.068330379,0.051226312,0.020572615,0.358584181,0.017110277,0.068330379,12.23574843,11.7289571,85.65023904,0.05103807,25.17232268,4.389702843,2.21853822,30.7279199,1.975376681,6.560026603,2.054557147,0.104373777,14.38190003,1.902113033,2.197939596,-3.320925973,1.230904224,-23.24648181,-4.63399288,-1.975376681,-2.106855589,0.148035414,-14.74798912,-2.249910166,-1.902113033,2.335145696,2.127242656,16.34601987,0.04706308,4.433148115,1.644914105,0.208721647,11.51439873,1.414213562,1.834021909,1.349841324,0.098711973,9.448889266,1.232232077,1.435450382,2.659515631,0.680103229,18.61660941,1.894736842,3.288888889,2.571428571,0.534522484,18,2,3,2.251427979,1.825805516,15.75999585,0.282329851,4.121022723,15.85714286,12.97983784,111,2,30,1,0,7,1,1,0.083567975,0.011171079,0.584975827,0.074074074,0.105263158,1,0,7,1,1,1.457534801,0.32260764,10.20274361,1,1.73968254,0.218301069,0.205166575,1.528107481,0,0.408888889,0.100946441,0.095540125,0.706625087,0,0.200636943
0.545454545,0.545454545,11,137.4545455,168.8072058,1512,5,596,249.6363636,329.1975919,2746,4,1129,16.90909091,10.92203777,186,2,37,33.54545455,21.57018144,369,4,73,18.18181818,39.83671217,200,1,126,2,0,22,2,2,8.420212629,6.831349114,92.62233892,2,25,94.83110384,149.7830979,1043.142142,3.618033989,511.0000116,21.41854963,38.8601536,235.6040459,2.618033989,127.008,0.075758491,0.151497812,0.833343403,0.001615901,0.381966011,0.075758491,0.151497812,0.833343403,0.001615901,0.381966011,73.41255421,151.5680678,807.5380964,0.005402955,502.017744,8.692949068,7.523701164,95.62243975,1.732050808,23.63458366,2.261885654,0.947124878,24.88074219,1,4.551392741,-7.57316751,6.633706518,-83.30484261,-21.58351547,-1.732050808,-2.139785862,0.657182486,-23.53764449,-3.072738619,-1,6.431063414,6.735628707,70.74169756,0.005259942,19.08319092,1.725583445,0.317796299,18.98141789,1.414213562,2.256304299,1.310857464,0.12871513,14.4194321,1.092820323,1.458830423,2.969003337,1.207672548,32.65903671,1.6,5.060240964,2.727272727,0.786245393,30,2,4,6.229888459,6.81233629,68.52877305,0.163269084,20.77738599,93.27272727,150.0340567,1026,2,510,1,0,11,1,1,0.100448058,0.14936686,1.104928643,0.006367379,0.4,1,0,11,1,1,1.49919222,0.508466865,16.49111441,1,2.431690398,0.252773902,0.246557653,2.780512919,0,0.568982472,0.032308601,0.040789539,0.355394611,0,0.115702479
0.5,0.5,2,39,28.28427125,78,19,59,51,46.66904756,102,18,84,11,2.828427125,22,9,13,21.5,4.949747468,43,18,25,1.5,0.707106781,3,1,2,2,0,4,2,2,7.36080265,0.981656521,14.7216053,6.666666667,8.054938632,11.49129808,10.63287141,22.98259617,3.972722607,19.00987356,8.457395306,6.456960878,16.91479061,3.891634483,13.02315613,0.018575591,0.012306207,0.037151181,0.009873788,0.027277393,0.018575591,0.012306207,0.037151181,0.009873788,0.027277393,3.033902778,4.175910532,6.067805557,0.081088123,5.986717433,3.622684788,2.329645466,7.245369576,1.975376681,5.269992895,3.189198092,1.820213147,6.378396184,1.902113033,4.476283151,-2.746132246,1.090012973,-5.492264491,-3.51688781,-1.975376681,-2.384440575,0.682114152,-4.76888115,-2.866768117,-1.902113033,0.433486696,0.509432319,0.866973392,0.073263649,0.793709744,1.558069725,0.203443336,3.116139449,1.414213562,1.701925887,1.312524751,0.113550988,2.625049502,1.232232077,1.392817424,2.371097235,0.673675328,4.742194469,1.894736842,2.847457627,2.5,0.707106781,5,2,3,1.378213075,1.503183587,2.75642615,0.315301768,2.441124383,10,11.3137085,20,2,18,1,0,2,1,1,0.077178627,0.039717524,0.154357255,0.049094097,0.105263158,1,0,2,1,1,1.071011105,0.100424867,2.142022209,1,1.142022209,0.149062912,0.210806792,0.298125825,0,0.298125825,0.118902439,0.168153442,0.237804878,0,0.237804878
0.5,0.5,2,55.5,44.54772721,111,24,87,93.5,99.70205615,187,23,164,9,4.242640687,18,6,12,16,9.899494937,32,9,23,4,2.828427125,8,2,6,2,0,4,2,2,5.526196204,3.969891399,11.05239241,2.719059075,8.333333333,39.49172267,50.21707314,78.98344534,3.982889723,75.00055562,4.969061655,1.466836453,9.938123311,3.931851653,6.006271658,0.039102015,0.031101014,0.078204031,0.017110277,0.061093753,0.039102015,0.031101014,0.078204031,0.017110277,0.061093753,34.52266102,48.75023669,69.04532203,0.05103807,68.99428396,5.851308506,5.468875715,11.70261701,1.984229403,9.71838761,2.107050336,0.240252276,4.214100671,1.937166322,2.276934349,-4.81118853,3.997923939,-9.62237706,-7.638147658,-1.984229403,-2.131174821,0.27436945,-4.262349642,-2.32518332,-1.937166322,3.744258171,5.22862344,7.488516342,0.04706308,7.441453261,1.683574073,0.380933287,3.367148146,1.414213562,1.952934584,1.347741182,0.146951294,2.695482365,1.243830926,1.451651439,2.843390805,1.310585844,5.686781609,1.916666667,3.770114943,2.5,0.707106781,5,2,3,3.960257985,5.201375849,7.920515971,0.282329851,7.638186119,38,50.91168825,76,2,74,1,0,2,1,1,0.06358594,0.027927032,0.127171879,0.043838546,0.083333333,1,0,2,1,1,1.790964983,1.118593406,3.581929965,1,2.581929965,0.267405218,0.378168086,0.534810436,0,0.534810436,0.038980763,0.055127123,0.077961525,0,0.077961525
0.5,0.5,2,78,100.4091629,156,7,149,139.5,188.7975106,279,6,273,7.5,6.363961031,15,3,12,14,11.3137085,28,6,22,7,8.485281374,14,1,13,3,1.414213562,6,2,4,5.382127094,3.840240964,10.76425419,2.666666667,8.09758752,25.90212742,31.25438798,51.80425483,3.801937736,48.0023171,18.11010449,21.01963279,36.22020897,3.246979604,32.97322937,0.10421275,0.132723255,0.208425501,0.010363237,0.198062264,0.10421275,0.132723255,0.208425501,0.010363237,0.198062264,7.792022928,10.23475519,15.58404586,0.554958132,15.02908772,6.752761284,6.936720662,13.50552257,1.847759065,11.6577635,2.582477826,1.652175166,5.164955652,1.414213562,3.75074209,-4.884812301,4.295041876,-9.769624603,-7.921865538,-1.847759065,-2.402708255,1.397942601,-4.805416511,-3.391202948,-1.414213562,4.170283458,5.284545496,8.340566916,0.433545503,7.907021414,1.666584124,0.356905871,3.333168248,1.414213562,1.918954686,1.296901557,0.206804876,2.593803114,1.150668426,1.443134687,2.689357622,1.378959917,5.378715244,1.714285714,3.66442953,2,0,4,2,2,2.809080476,3.282574147,5.618160951,0.487950036,5.130210915,25.5,33.23401872,51,2,49,1,0,2,1,1,0.155236972,0.184522786,0.310473945,0.024759659,0.285714286,1,0,2,1,1,1.379512062,0.536711106,2.759024125,1,1.759024125,0.141324789,0.199863434,0.282649578,0,0.282649578,0.1,0.141421356,0.2,0,0.2
0.5,0.25,4,107.75,166.9218879,431,17,358,199.25,341.3633206,797,16,711,8.25,1.258305739,33,7,10,13.75,5.188127472,55,9,20,5.75,5.5,23,1,11,3,1.154700538,12,2,4,4.799529825,2.030416199,19.1981193,2.319781544,6.846153846,91.62278193,167.0105977,366.4911277,3.965946199,342.0000259,5.324486246,1.564391653,21.29794498,3.864944459,7.440539248,0.041882949,0.02028318,0.167531795,0.026709731,0.071798062,0.041882949,0.02028318,0.167531795,0.026709731,0.071798062,86.29829569,165.5807133,345.1931827,0.02363402,334.5594866,7.163864293,8.361134167,28.65545717,1.969615506,19.5340228,2.170183274,0.341443345,8.680733095,1.879385242,2.662929448,-6.176209389,7.543141388,-24.70483756,-17.46357626,-1.969615506,-2.197201647,0.342168016,-8.788806586,-2.682815711,-1.879385242,4.993681019,8.025716644,19.97472408,0.090230264,16.87109335,1.648551163,0.27494987,6.59420465,1.414213562,1.995793897,1.323225652,0.092505808,5.292902608,1.227064977,1.418777842,2.696938328,0.971443636,10.78775331,1.882352941,3.972067039,2.5,0.577350269,10,2,3,5.247679545,8.466974715,20.99071818,0.332105582,17.86705657,90.25,167.2709877,361,2,341,1,0,4,1,1,0.077480681,0.046843023,0.309922722,0.011126238,0.117647059,1,0,4,1,1,1.594299127,0.617873319,6.377196506,1,2.318310564,0.226720578,0.294673599,0.90688231,0,0.619104533,0.066979999,0.122305417,0.267919995,0,0.25
0.5,0.5,2,98.5,129.400541,197,7,190,135.5,183.1406563,271,6,265,16,18.38477631,32,3,29,30,33.9411255,60,6,54,3,2.828427125,6,1,5,2,0,4,2,2,10.96123642,11.73029305,21.92247285,2.666666667,19.25580618,11.8153854,11.33272637,23.6307708,3.801937736,19.82883307,9.16195134,8.365033251,18.32390268,3.246979604,15.07692308,0.100178867,0.138428028,0.200357734,0.00229547,0.198062264,0.100178867,0.138428028,0.200357734,0.00229547,0.198062264,2.653434062,2.967693121,5.306868124,0.554958132,4.751909992,5.672026083,5.408330283,11.34405217,1.847759065,9.496293101,2.135955405,1.020697103,4.271910811,1.414213562,2.857697248,-4.689607807,4.018981033,-9.379215613,-7.531456548,-1.847759065,-2.135960099,1.02070374,-4.271920197,-2.857706635,-1.414213562,3.536070678,4.38763318,7.072141355,0.433545503,6.638595853,1.544398965,0.184109962,3.08879793,1.414213562,1.674584368,1.249298423,0.139483879,2.498596846,1.150668426,1.347928419,2.251879699,0.760272705,4.503759399,1.714285714,2.789473684,2,0,4,2,2,1.471728886,1.391273391,2.943457772,0.487950036,2.455507736,8.5,9.192388155,17,2,15,1,0,2,1,1,0.150236703,0.191594235,0.300473406,0.01475912,0.285714286,1,0,2,1,1,1.310359231,0.438914234,2.620718463,1,1.620718463,0.018358396,0.025962693,0.036716792,0,0.036716792,0.100574713,0.142234123,0.201149425,0,0.201149425
0.5,0,6,287.5,312.0357351,1725,5,689,293.5,320.1454357,1761,4,707,86,95.18613344,516,2,208,171.8333333,190.3222705,1031,4,416,1.166666667,0.40824829,7,1,2,2.166666667,0.40824829,13,2,3,56.43276804,60.93924661,338.5966082,2,130.6336188,4.494874696,0.873803458,26.96924817,3.618033989,5.581812473,3.968272369,1.116888513,23.80963421,2.618033989,4.991446665,0.131905622,0.19398226,0.791433733,4.28029E-05,0.381966011,0.131905622,0.19398226,0.791433733,4.28029E-05,0.381966011,0.526602326,0.447701759,3.159613959,1.65645E-12,1,2.092681912,0.327424641,12.55609147,1.732050808,2.50237131,1.790717683,0.629855688,10.7443061,1,2.296518994,-2.068418291,0.295314158,-12.41050974,-2.378768807,-1.732050808,-1.785801913,0.625216602,-10.71481148,-2.272834941,-1,0.301964229,0.341985564,1.811785376,4.02501E-08,0.732050808,1.42279162,0.009525832,8.53674972,1.414213562,1.43360823,1.212017339,0.094562628,7.272104032,1.092820323,1.287008737,1.871681463,0.218407978,11.23008878,1.6,2.052249637,2,0,12,2,2,0.349831172,0.157013795,2.098987034,0.219339841,0.547722558,2.833333333,0.98319208,17,2,4,1,0,6,1,1,0.152730149,0.195531768,0.916380896,0.002982921,0.4,1,0,6,1,1,1.095705449,0.145949749,6.574232694,1,1.302736413,0,0,0,0,0,0,0,0,0,0
