Class Complexity,Number of Graphs,Mean Nodes,Sd Nodes,Sum Nodes,Min Nodes,Max Nodes,Mean Edges,Sd Edges,Sum Edges,Min Edges,Max Edges,Mean Radius,Sd Radius,Sum Radius,Min Radius,Max Radius,Mean Diameter,Sd Diameter,Sum Diameter,Min Diameter,Max Diameter,Mean CenterSize,Sd CenterSize,Sum CenterSize,Min CenterSize,Max CenterSize,Mean PeripherySize,Sd PeripherySize,Sum PeripherySize,Min PeripherySize,Max PeripherySize,Mean AvrShortestPath,Sd AvrShortestPath,Sum AvrShortestPath,Min AvrShortestPath,Max AvrShortestPath,Mean EigenLargestLap,Sd EigenLargestLap,Sum EigenLargestLap,Min EigenLargestLap,Max EigenLargestLap,Mean EigenSecondLargestLap,Sd EigenSecondLargestLap,Sum EigenSecondLargestLap,Min EigenSecondLargestLap,Max EigenSecondLargestLap,Mean AlgebraicConnectivity,Sd AlgebraicConnectivity,Sum AlgebraicConnectivity,Min AlgebraicConnectivity,Max AlgebraicConnectivity,Mean EigenSmallestNonZeroLap,Sd EigenSmallestNonZeroLap,Sum EigenSmallestNonZeroLap,Min EigenSmallestNonZeroLap,Max EigenSmallestNonZeroLap,Mean EigenGapLap,Sd EigenGapLap,Sum EigenGapLap,Min EigenGapLap,Max EigenGapLap,Mean EigenLargestAdj,Sd EigenLargestAdj,Sum EigenLargestAdj,Min EigenLargestAdj,Max EigenLargestAdj,Mean EigenSecondLargestAdj,Sd EigenSecondLargestAdj,Sum EigenSecondLargestAdj,Min EigenSecondLargestAdj,Max EigenSecondLargestAdj,Mean EigenSmallestAdj,Sd EigenSmallestAdj,Sum EigenSmallestAdj,Min EigenSmallestAdj,Max EigenSmallestAdj,Mean EigenSecondSmallestAdj,Sd EigenSecondSmallestAdj,Sum EigenSecondSmallestAdj,Min EigenSecondSmallestAdj,Max EigenSecondSmallestAdj,Mean EigenGapAdj,Sd EigenGapAdj,Sum EigenGapAdj,Min EigenGapAdj,Max EigenGapAdj,Mean EigenStdDevAdj,Sd EigenStdDevAdj,Sum EigenStdDevAdj,Min EigenStdDevAdj,Max EigenStdDevAdj,Mean Energy,Sd Energy,Sum Energy,Min Energy,Max Energy,Mean NodeMean,Sd NodeMean,Sum NodeMean,Min NodeMean,Max NodeMean,Mean NodeMedian,Sd NodeMedian,Sum NodeMedian,Min NodeMedian,Max NodeMedian,Mean NodeStDev,Sd NodeStDev,Sum NodeStDev,Min NodeStDev,Max NodeStDev,Mean MaxDegree,Sd MaxDegree,Sum MaxDegree,Min MaxDegree,Max MaxDegree,Mean MinDegree,Sd MinDegree,Sum MinDegree,Min MinDegree,Max MinDegree,Mean Density,Sd Density,Sum Density,Min Density,Max Density,Mean EdgeConnectivity,Sd EdgeConnectivity,Sum EdgeConnectivity,Min EdgeConnectivity,Max EdgeConnectivity,Mean AvrNodeConnectivity,Sd AvrNodeConnectivity,Sum AvrNodeConnectivity,Min AvrNodeConnectivity,Max AvrNodeConnectivity,Mean ClusteringCoef,Sd ClusteringCoef,Sum ClusteringCoef,Min ClusteringCoef,Max ClusteringCoef,Mean Transitivity,Sd Transitivity,Sum Transitivity,Min Transitivity,Max Transitivity
0.571428571,7,33.57142857,10.08062734,235,19,45,47.42857143,23.80376121,332,18,74,8.142857143,2.267786838,57,6,12,15,4.082482905,105,12,23,2.571428571,2.878491669,18,1,9,2.285714286,0.755928946,16,2,4,5.064389437,1.993998749,35.45072606,3.512121212,8.333333333,17.2171109,12.54634632,120.5197763,3.972722607,31.0034585,4.981362465,0.866749527,34.86953725,3.891634483,5.831135817,0.051226312,0.020572615,0.358584181,0.017110277,0.068330379,0.051226312,0.020572615,0.358584181,0.017110277,0.068330379,12.23574843,11.7289571,85.65023904,0.05103807,25.17232268,4.389702843,2.21853822,30.7279199,1.975376681,6.560026603,2.054557147,0.104373777,14.38190003,1.902113033,2.197939596,-3.320925973,1.230904224,-23.24648181,-4.63399288,-1.975376681,-2.106855589,0.148035414,-14.74798912,-2.249910166,-1.902113033,2.335145696,2.127242656,16.34601987,0.04706308,4.433148115,1.644914105,0.208721647,11.51439873,1.414213562,1.834021909,1.349841324,0.098711973,9.448889266,1.232232077,1.435450382,2.659515631,0.680103229,18.61660941,1.894736842,3.288888889,2.571428571,0.534522484,18,2,3,2.251427979,1.825805516,15.75999585,0.282329851,4.121022723,15.85714286,12.97983784,111,2,30,1,0,7,1,1,0.083567975,0.011171079,0.584975827,0.074074074,0.105263158,1,0,7,1,1,1.457534801,0.32260764,10.20274361,1,1.73968254,0.218301069,0.205166575,1.528107481,0,0.408888889,0.100946441,0.095540125,0.706625087,0,0.200636943
0.5,2,55.5,44.54772721,111,24,87,93.5,99.70205615,187,23,164,9,4.242640687,18,6,12,16,9.899494937,32,9,23,4,2.828427125,8,2,6,2,0,4,2,2,5.526196204,3.969891399,11.05239241,2.719059075,8.333333333,39.49172267,50.21707314,78.98344534,3.982889723,75.00055562,4.969061655,1.466836453,9.938123311,3.931851653,6.006271658,0.039102015,0.031101014,0.078204031,0.017110277,0.061093753,0.039102015,0.031101014,0.078204031,0.017110277,0.061093753,34.52266102,48.75023669,69.04532203,0.05103807,68.99428396,5.851308506,5.468875715,11.70261701,1.984229403,9.71838761,2.107050336,0.240252276,4.214100671,1.937166322,2.276934349,-4.81118853,3.997923939,-9.62237706,-7.638147658,-1.984229403,-2.131174821,0.27436945,-4.262349642,-2.32518332,-1.937166322,3.744258171,5.22862344,7.488516342,0.04706308,7.441453261,1.683574073,0.380933287,3.367148146,1.414213562,1.952934584,1.347741182,0.146951294,2.695482365,1.243830926,1.451651439,2.843390805,1.310585844,5.686781609,1.916666667,3.770114943,2.5,0.707106781,5,2,3,3.960257985,5.201375849,7.920515971,0.282329851,7.638186119,38,50.91168825,76,2,74,1,0,2,1,1,0.06358594,0.027927032,0.127171879,0.043838546,0.083333333,1,0,2,1,1,1.790964983,1.118593406,3.581929965,1,2.581929965,0.267405218,0.378168086,0.534810436,0,0.534810436,0.038980763,0.055127123,0.077961525,0,0.077961525
0.5,4,107.75,166.9218879,431,17,358,199.25,341.3633206,797,16,711,8.25,1.258305739,33,7,10,13.75,5.188127472,55,9,20,5.75,5.5,23,1,11,3,1.154700538,12,2,4,4.799529825,2.030416199,19.1981193,2.319781544,6.846153846,91.62278193,167.0105977,366.4911277,3.965946199,342.0000259,5.324486246,1.564391653,21.29794498,3.864944459,7.440539248,0.041882949,0.02028318,0.167531795,0.026709731,0.071798062,0.041882949,0.02028318,0.167531795,0.026709731,0.071798062,86.29829569,165.5807133,345.1931827,0.02363402,334.5594866,7.163864293,8.361134167,28.65545717,1.969615506,19.5340228,2.170183274,0.341443345,8.680733095,1.879385242,2.662929448,-6.176209389,7.543141388,-24.70483756,-17.46357626,-1.969615506,-2.197201647,0.342168016,-8.788806586,-2.682815711,-1.879385242,4.993681019,8.025716644,19.97472408,0.090230264,16.87109335,1.648551163,0.27494987,6.59420465,1.414213562,1.995793897,1.323225652,0.092505808,5.292902608,1.227064977,1.418777842,2.696938328,0.971443636,10.78775331,1.882352941,3.972067039,2.5,0.577350269,10,2,3,5.247679545,8.466974715,20.99071818,0.332105582,17.86705657,90.25,167.2709877,361,2,341,1,0,4,1,1,0.077480681,0.046843023,0.309922722,0.011126238,0.117647059,1,0,4,1,1,1.594299127,0.617873319,6.377196506,1,2.318310564,0.226720578,0.294673599,0.90688231,0,0.619104533,0.066979999,0.122305417,0.267919995,0,0.25
0.333333333,3,33,21.28379665,99,10,52,53.66666667,50.20292156,161,9,108,7.333333333,3.214550254,22,5,11,13,7.810249676,39,8,22,3.333333333,3.214550254,10,1,7,14,20.78460969,42,2,38,4.755311873,2.297602557,14.26593562,3.204374057,7.394894895,17.98218652,19.31477824,53.94655957,3.902113033,40.0013523,9.844602283,9.689973471,29.53380685,3.618033989,21.00884732,0.058963124,0.040138596,0.176889372,0.017711119,0.097886967,0.058963124,0.040138596,0.176889372,0.017711119,0.097886967,8.137584242,9.708639019,24.41275273,0.284079044,18.99250497,4.805975058,3.368082269,14.41792517,1.918985947,8.50622582,2.434403414,0.956233675,7.303210243,1.682507066,3.510617075,-3.385480543,2.02985109,-10.15644163,-5.702186286,-1.918985947,-2.181201507,0.539092001,-6.543604522,-2.753191063,-1.682507066,2.371571644,2.416946253,7.114714931,0.236478882,4.995608745,1.678556168,0.336961522,5.035668504,1.414213562,2.057983022,1.356266233,0.162599971,4.068798698,1.205334837,1.52844561,2.777408177,1.226607726,8.332224532,1.8,4.153846154,2.333333333,0.577350269,7,2,3,2.389533649,2.736322709,7.168600947,0.421637021,5.514276001,16.66666667,19.65536398,50,2,39,1,0,3,1,1,0.11583801,0.073291071,0.34751403,0.066066066,0.2,1,0,3,1,1,1.65989066,0.876071493,4.97967198,1,2.653846154,0.217501362,0.271025287,0.652504085,0,0.521122703,0.144957641,0.127314469,0.434872923,0,0.238636364
0.25,4,133,151.1224669,532,7,351,136,155.3233187,544,6,360,31,24.04163056,124,3,58,60.25,45.71196051,241,6,110,4,5.354126135,16,1,12,2.75,1.5,11,2,5,22.49954223,17.98494148,89.99816893,2.666666667,44.00882377,4.637193034,0.689100975,18.54877214,3.801937736,5.487100957,4.248653501,0.667782598,16.994614,3.246979604,4.582547765,0.051141817,0.097963884,0.204567268,0.000653212,0.198062264,0.051141817,0.097963884,0.204567268,0.000653212,0.198062264,0.388539533,0.420832537,1.554158132,5.68665E-06,0.904553192,2.161732247,0.229735619,8.646928986,1.847759065,2.398135041,1.988302786,0.382726162,7.953211145,1.414213562,2.179802815,-2.161420188,0.229628612,-8.645680753,-2.398135041,-1.847759065,-1.988298345,0.382723202,-7.95319338,-2.179802815,-1.414213562,0.17342946,0.197532635,0.693717841,0.000152591,0.433545503,1.432217743,0.01334992,5.728870972,1.414213562,1.446481141,1.247165214,0.064370507,4.988660855,1.150668426,1.281591211,1.965802716,0.167957853,7.863210863,1.714285714,2.060606061,2,0,8,2,2,0.340270971,0.105863246,1.361083886,0.256776296,0.487950036,3,0.816496581,12,2,4,1,0,4,1,1,0.085578613,0.133840246,0.342314453,0.005860806,0.285714286,1,0,4,1,1,1.185798902,0.272675022,4.743195607,1,1.589092389,0,0,0,0,0,0,0,0,0,0
0.25,8,33.25,22.45471634,266,7,80,36.75,24.59239139,294,6,81,11.25,7.49761867,90,3,28,21.75,14.85885979,174,6,55,1.875,0.640869944,15,1,3,2.5,0.755928946,20,2,4,8.121188583,5.59538583,64.96950866,2.666666667,20.66898734,6.960327965,5.083269377,55.68262372,3.801937736,17.01263129,5.104251535,2.493777032,40.83401228,3.246979604,11.11111111,0.045898605,0.063170332,0.367188838,0.002041117,0.198062264,0.045898605,0.063170332,0.367188838,0.002041117,0.198062264,1.85607643,4.163005783,14.84861144,0.002929916,12.04604912,2.877098466,1.507824701,23.01678773,1.847759065,5.570964958,1.934038127,0.247263816,15.47230502,1.414213562,2.236101008,-2.443819845,0.738517168,-19.55055876,-3.881916333,-1.847759065,-1.942064617,0.247909275,-15.53651694,-2.236101008,-1.414213562,0.943060339,1.500591299,7.544482711,0.01411247,3.640489103,1.49569434,0.136599221,11.96555472,1.414213562,1.758098146,1.27056871,0.077838737,10.16454968,1.150668426,1.389241766,2.148998552,0.452806228,17.19198842,1.714285714,3,2,0,16,2,2,0.865164561,0.892861685,6.921316485,0.274438437,2.331724027,5.25,5.284748947,42,2,16,1,0,8,1,1,0.104429934,0.081102465,0.835439471,0.025632911,0.285714286,1,0,8,1,1,1.086970217,0.109022572,8.695761738,1,1.276292335,0.055187708,0.103853106,0.441501662,0,0.255405405,0.06459278,0.120593526,0.516742239,0,0.287234043
0.222222222,9,77.66666667,72.57754474,699,11,189,128.4444444,162.2599081,1156,10,457,14.33333333,7.262919523,129,5,30,28.11111111,14.35657031,253,10,59,1.777777778,0.666666667,16,1,3,2.666666667,1.322875656,24,2,6,9.882087256,5.657040263,88.93878531,4,22.42969717,24.27518628,39.346921,218.4766765,3.918985947,99.00052625,21.87008924,34.96468017,196.8308031,3.682507066,85.98881654,0.022408911,0.025920147,0.201680196,0.00173167,0.081014053,0.022408911,0.025920147,0.201680196,0.00173167,0.081014053,2.405097039,4.568878973,21.64587335,0.02277389,13.01170971,5.250541117,6.228746319,47.25487005,1.931851653,17.78647105,2.30668807,0.657988904,20.76019263,1.732050808,3.627112139,-4.447646874,4.646785411,-40.02882187,-14.07594712,-1.931851653,-2.132243093,0.339603912,-19.19018783,-2.730289052,-1.732050808,2.943853047,5.599878554,26.49467742,0.021563156,14.15935891,1.591329297,0.336103468,14.32196367,1.414213562,2.258434773,1.298289659,0.098682309,11.68460693,1.199228021,1.474151546,2.570237926,1.241208537,23.13214133,1.818181818,5.077777778,2.444444444,0.881917104,22,2,4,2.553273536,4.41486342,22.97946182,0.232310684,11.13475387,23.11111111,40.57229487,208,2,100,1,0,9,1,1,0.063889965,0.051833208,0.575009686,0.011032309,0.181818182,1,0,9,1,1,1.282994799,0.459620662,11.54695319,1,2.103041589,0.107982491,0.21467117,0.971842422,0,0.512120531,0.022600624,0.044851086,0.203405618,0,0.102953851
0.217391304,23,48.69565217,51.11434133,1120,6,164,56.91304348,60.6756751,1309,5,167,14.82608696,18.50958517,341,3,82,27.08695652,36.30416085,623,5,163,6.869565217,20.65804784,158,1,101,2.52173913,0.994053466,58,2,6,9.578923865,12.24276725,220.3152489,2.333333333,55,12.41287477,17.17064558,285.4961197,3.732050808,64.00102484,4.163194706,0.837054201,95.75347823,3,5.499998872,0.071046697,0.075142947,1.634074023,0.000366943,0.267949192,0.071046697,0.075142947,1.634074023,0.000366943,0.267949192,8.249680063,16.52810168,189.7426415,0.001100695,58.50102597,3.182413703,2.277558183,73.19551516,1.801937736,8.975440454,1.854553093,0.29389685,42.65472114,1.246979604,2.40528718,-2.779624315,1.544159452,-63.93135926,-7.040926417,-1.801937736,-1.856833955,0.295614877,-42.70718097,-2.39465532,-1.246979604,1.32786061,2.134520276,30.54079403,0.001087395,6.856693736,1.491537472,0.139033974,34.30536186,1.414213562,1.822644754,1.259400541,0.077617247,28.96621245,1.164653069,1.416087985,2.112564393,0.498192856,48.58898105,1.666666667,3.266666667,2.152173913,0.351450973,49.5,2,3,1.238519707,1.7278821,28.48595326,0.110092258,5.8988174,10.7826087,17.49014403,248,2,63,1,0,23,1,1,0.130609629,0.10359589,3.004021469,0.012195122,0.333333333,1,0,23,1,1,1.211910721,0.33234751,27.87394658,1,1.923163842,0.072445672,0.143735124,1.666250467,0,0.425811966,0.030600764,0.06593027,0.703817579,0,0.255813953
0.2,5,28.2,25.99423013,141,5,68,36,43.11612227,180,4,109,7.8,5.674504384,39,2,16,15.2,11.56287162,76,4,32,1.4,0.547722558,7,1,2,2.2,0.447213595,11,2,3,5.397692871,3.112694204,26.98846436,2,8.627743635,8.184129766,8.84215466,40.92064883,3.618033989,23.96672471,7.261820712,8.303351018,36.30910356,2.618033989,22.05,0.143600083,0.17071835,0.718000416,0.009917092,0.381966011,0.143600083,0.17071835,0.718000416,0.009917092,0.381966011,0.922309054,0.657967012,4.611545269,0.08657004,1.916724713,3.126631004,2.498651445,15.63315502,1.732050808,7.572788228,1.708303055,0.561063356,8.541515276,1,2.308833719,-2.755804793,1.675989363,-13.77902396,-5.718657171,-1.732050808,-1.708297979,0.561056564,-8.541489893,-2.308808336,-1,1.418327949,2.162881249,7.091639745,0.081615299,5.263954508,1.501866781,0.169263916,7.509333905,1.414213562,1.803810229,1.236832216,0.11758983,6.184161079,1.092820323,1.404683592,2.094509804,0.648190336,10.47254902,1.6,3.205882353,2,0,10,2,2,1.081721165,1.317237262,5.408605825,0.40824829,3.436237197,6.4,8.734987121,32,2,22,1,0,5,1,1,0.184014243,0.168912177,0.920071213,0.04784899,0.4,1,0,5,1,1,1.160950336,0.224387356,5.804751679,1,1.525021949,0.039724981,0.088827758,0.198624905,0,0.198624905,0.037735849,0.084379924,0.188679245,0,0.188679245
0.176470588,17,39.47058824,36.67955433,671,8,143,48.52941176,50.9081497,825,7,151,10.94117647,6.618823425,186,4,24,21.41176471,13.17696296,364,7,47,1.470588235,0.514495755,25,1,2,2.294117647,0.587867532,39,2,4,7.477485314,4.400437605,127.1172503,3,16.60996564,10.51609473,15.10496368,178.7736105,3.847759065,50.00127693,6.972056107,7.654518586,118.5249538,3.414213562,27.00502453,0.048615028,0.055706248,0.826455468,0.002475788,0.152240935,0.048615028,0.055706248,0.826455468,0.002475788,0.152240935,3.544038628,7.622694273,60.24865668,0.012828124,22.9962524,3.16763165,2.542567342,53.84973805,1.879385242,9.610014248,2.169750424,0.737002374,36.88575721,1.532088886,3.910113208,-2.655759795,1.498294053,-45.14791651,-6.549294405,-1.879385242,-2.017551327,0.390935297,-34.29837257,-3.023813761,-1.532088886,0.997881225,1.906091153,16.96398083,0.012310758,5.699901039,1.504356094,0.196629836,25.57405359,1.414213562,2.010788706,1.2715289,0.083702404,21.61599131,1.189692621,1.469340059,2.198289454,0.703050496,37.37092071,1.75,4,2.117647059,0.332105582,36,2,3,1.199242265,1.961892368,20.3871185,0.201940937,6.285479009,9,15.42724862,153,2,49,1,0,17,1,1,0.104462175,0.076313437,1.775856974,0.014872451,0.25,1,0,17,1,1,1.141153289,0.248394176,19.39960591,1,1.649275362,0.069883384,0.168272996,1.18801753,0,0.500579278,0.033039635,0.07526743,0.561673787,0,0.239130435
