Number of Methods,depthOfInheritanceTree,Number of Children ,Coupling between Object Classes,Response for a Class,Lack of Cohesion in Methods,Afferent Coupling ,Number of Public Methods,Efferent Couplings,Lack of Cohesion in Methods 3,Lines of Code,Data Access Metric,Measure of Agregation,Measure of Funcional Abstraction,Cohesion Among Methods,Inheritance Coupling,Coupling Between Methods,Average Method Complexity,Average CC,Max CC,Min CC,Class Complexity CKJM,Flags,Class Complexity,Sum Complex,Average Complex,Number of Graphs,Mean Nodes,Sd Nodes,Sum Nodes,Min Nodes,Max Nodes,Mean Edges,Sd Edges,Sum Edges,Min Edges,Max Edges,Mean Radius,Sd Radius,Sum Radius,Min Radius,Max Radius,Mean Diameter,Sd Diameter,Sum Diameter,Min Diameter,Max Diameter,Mean CenterSize,Sd CenterSize,Sum CenterSize,Min CenterSize,Max CenterSize,Mean PeripherySize,Sd PeripherySize,Sum PeripherySize,Min PeripherySize,Max PeripherySize,Mean AvrShortestPath,Sd AvrShortestPath,Sum AvrShortestPath,Min AvrShortestPath,Max AvrShortestPath,Mean EigenLargestLap,Sd EigenLargestLap,Sum EigenLargestLap,Min EigenLargestLap,Max EigenLargestLap,Mean EigenSecondLargestLap,Sd EigenSecondLargestLap,Sum EigenSecondLargestLap,Min EigenSecondLargestLap,Max EigenSecondLargestLap,Mean AlgebraicConnectivity,Sd AlgebraicConnectivity,Sum AlgebraicConnectivity,Min AlgebraicConnectivity,Max AlgebraicConnectivity,Mean EigenSmallestNonZeroLap,Sd EigenSmallestNonZeroLap,Sum EigenSmallestNonZeroLap,Min EigenSmallestNonZeroLap,Max EigenSmallestNonZeroLap,Mean EigenGapLap,Sd EigenGapLap,Sum EigenGapLap,Min EigenGapLap,Max EigenGapLap,Mean EigenLargestAdj,Sd EigenLargestAdj,Sum EigenLargestAdj,Min EigenLargestAdj,Max EigenLargestAdj,Mean EigenSecondLargestAdj,Sd EigenSecondLargestAdj,Sum EigenSecondLargestAdj,Min EigenSecondLargestAdj,Max EigenSecondLargestAdj,Mean EigenSmallestAdj,Sd EigenSmallestAdj,Sum EigenSmallestAdj,Min EigenSmallestAdj,Max EigenSmallestAdj,Mean EigenSecondSmallestAdj,Sd EigenSecondSmallestAdj,Sum EigenSecondSmallestAdj,Min EigenSecondSmallestAdj,Max EigenSecondSmallestAdj,Mean EigenGapAdj,Sd EigenGapAdj,Sum EigenGapAdj,Min EigenGapAdj,Max EigenGapAdj,Mean EigenStdDevAdj,Sd EigenStdDevAdj,Sum EigenStdDevAdj,Min EigenStdDevAdj,Max EigenStdDevAdj,Mean Energy,Sd Energy,Sum Energy,Min Energy,Max Energy,Mean NodeMean,Sd NodeMean,Sum NodeMean,Min NodeMean,Max NodeMean,Mean NodeMedian,Sd NodeMedian,Sum NodeMedian,Min NodeMedian,Max NodeMedian,Mean NodeStDev,Sd NodeStDev,Sum NodeStDev,Min NodeStDev,Max NodeStDev,Mean MaxDegree,Sd MaxDegree,Sum MaxDegree,Min MaxDegree,Max MaxDegree,Mean MinDegree,Sd MinDegree,Sum MinDegree,Min MinDegree,Max MinDegree,Mean Density,Sd Density,Sum Density,Min Density,Max Density,Mean EdgeConnectivity,Sd EdgeConnectivity,Sum EdgeConnectivity,Min EdgeConnectivity,Max EdgeConnectivity,Mean AvrNodeConnectivity,Sd AvrNodeConnectivity,Sum AvrNodeConnectivity,Min AvrNodeConnectivity,Max AvrNodeConnectivity,Mean ClusteringCoef,Sd ClusteringCoef,Sum ClusteringCoef,Min ClusteringCoef,Max ClusteringCoef,Mean Transitivity,Sd Transitivity,Sum Transitivity,Min Transitivity,Max Transitivity
5,1,0,1,20,4,0,3,1,1.0625,187,1,0,0,0.5333,0,0,35.6,5.2,11,1,20,0,0,0,0,5,55,59.5441013,275,5,151,56.4,61.01065481,282,4,153,18,21.36586062,90,2,55,35.4,42.50058823,177,4,109,1.6,0.547722558,8,1,2,2.2,0.447213595,11,2,3,12.07308587,13.37450062,60.36542937,2,35.11240618,5.464334228,1.784060318,27.32167114,3.618033989,8.353847389,4.221784906,1.103771444,21.10892453,2.618033989,5.703612709,0.101175916,0.16278422,0.505879581,0.000732852,0.381966011,0.101175916,0.16278422,0.505879581,0.000732852,0.381966011,1.242549322,0.826412137,6.212746611,0.499742808,2.65023468,2.370787357,0.475273673,11.85393678,1.732050808,3.035594732,1.882026325,0.563417775,9.410131627,1,2.520619014,-2.361433144,0.464718362,-11.80716572,-3.010538898,-1.732050808,-1.872461654,0.550126552,-9.362308269,-2.472868713,-1,0.488761032,0.145714968,2.443805158,0.384718106,0.732050808,1.447422234,0.030844068,7.237111168,1.414213562,1.483239697,1.236737069,0.081982221,6.183685347,1.092820323,1.297096119,1.95910083,0.212663921,9.795504151,1.6,2.169014085,2,0,10,2,2,0.540660251,0.162574533,2.703301257,0.364179807,0.774336868,3.8,1.923538406,19,2,7,1,0,5,1,1,0.136691378,0.161278594,0.683456888,0.013509934,0.4,1,0,5,1,1,1.088683544,0.102763551,5.443417721,1,1.227272727,0,0,0,0,0,0,0,0,0,0
3,1,0,0,11,3,0,2,0,2,113,0,0,0,0.4167,0,0,36.6667,5.333333333,9,1,0,0,0,0,0,3,49,52.60228132,147,7,108,52.33333333,54.24327915,157,6,112,12.33333333,14.46835628,37,3,29,24,28.61817604,72,6,57,1.666666667,0.577350269,5,1,2,2.333333333,0.577350269,7,2,3,8.67515246,9.573805061,26.02545738,2.666666667,19.71564555,6.0330618,2.890444607,18.0991854,3.801937736,9.298329413,4.321338254,0.93083408,12.96401476,3.246979604,4.886216019,0.098198562,0.097964375,0.294595687,0.002250958,0.198062264,0.098198562,0.097964375,0.294595687,0.002250958,0.198062264,1.711723546,2.346591991,5.135170637,0.168099112,4.412113394,2.47268861,0.720801584,7.418065831,1.847759065,3.261233441,1.980640072,0.490653182,5.941920217,1.414213562,2.27440329,-2.421908203,0.641669161,-7.265724608,-3.11457356,-1.847759065,-1.947183823,0.465544368,-5.841551468,-2.274402674,-1.414213562,0.492048538,0.489260391,1.476145614,0.034670035,1.007930076,1.48244111,0.091356558,4.44732333,1.414213562,1.586231078,1.264116288,0.103083176,3.792348863,1.150668426,1.352038428,2.075286596,0.361608668,6.225859788,1.714285714,2.4375,2,0,6,2,2,0.658901955,0.443315698,1.976705865,0.326513835,1.162241994,4.333333333,3.214550254,13,2,8,1,0,3,1,1,0.127909063,0.139836918,0.383727188,0.01938387,0.285714286,1,0,3,1,1,1.310257763,0.377001067,3.930773289,1,1.72983871,0,0,0,0,0,0,0,0,0,0
4,1,0,7,11,6,0,3,7,2,59,0,0,0,0.375,0,0,13.75,7.75,14,1,50,0,0,0,0,4,20.75,19.7040605,83,7,50,19.75,19.7040605,79,6,49,5,2.708012802,20,3,9,10,5.416025603,40,6,18,1,0,4,1,1,3.25,1.258305739,13,2,5,4.690763998,2.537218325,18.76305599,2.666666667,8.404081633,4.998237771,1.503812617,19.99295108,3.801937736,7.199998034,3.550697965,0.264055012,14.20279186,3.246979604,3.891634483,0.116642294,0.069873357,0.466569174,0.027277393,0.198062264,0.116642294,0.069873357,0.466569174,0.027277393,0.198062264,1.447539806,1.255403442,5.790159223,0.554958132,3.308363551,2.183204244,0.353970465,8.732816975,1.847759065,2.683051931,1.638098643,0.200527062,6.552394572,1.414213562,1.902113033,-2.183204244,0.353970465,-8.732816975,-2.683051931,-1.847759065,-1.638098643,0.200527062,-6.552394572,-1.902113033,-1.414213562,0.545105601,0.158939101,2.180422403,0.433545503,0.780938898,1.414213562,0,5.656854249,1.414213562,1.414213562,1.198471536,0.034540229,4.793886142,1.150668426,1.233242617,1.841648352,0.100447255,7.366593407,1.714285714,1.96,2,0,8,2,2,0.566547606,0.075104445,2.266190424,0.487950036,0.668839995,3.5,1.732050808,14,2,6,1,0,4,1,1,0.158351648,0.100447255,0.633406593,0.04,0.285714286,1,0,4,1,1,1,0,4,1,1,0,0,0,0,0,0,0,0,0,0
7,1,0,3,19,3,0,1,3,0.7143,1680,0.7143,0,0,0.6111,0,0,238,23.71428571,156,1,14.28571429,0,0.166666667,155,155,6,336.3333333,755.3366578,2018,14,1878,361.5,817.9622852,2169,13,2031,12.16666667,4.355073669,73,7,18,21.83333333,8.727351641,131,13,35,6,9.797958971,36,2,26,2.166666667,0.40824829,13,2,3,8.026072641,2.75530708,48.15643585,5,12.33333333,29.80207021,62.31945232,178.8124212,3.949855824,157.0064516,29.72257955,62.35856499,178.3354773,3.801937736,157.0064516,0.029441663,0.018285138,0.176649979,0.007610604,0.050144176,0.029441663,0.018285138,0.176649979,0.007610604,0.050144176,0.079490655,0.101645831,0.476943929,2.22258E-11,0.255391171,3.821428943,4.268515119,22.92857366,1.956295201,12.53022318,3.750772632,4.303899968,22.50463579,1.827090915,12.53021988,-3.821427286,4.268515824,-22.92856372,-12.53022318,-1.956295201,-3.750774901,4.303899046,-22.50464941,-12.53021988,-1.827090915,0.070656311,0.085196528,0.423937865,3.30028E-06,0.217293504,1.435234474,0.024454358,8.611406844,1.414213562,1.47108519,1.248713337,0.016808225,7.492280025,1.223824605,1.273852966,1.988843011,0.107032895,11.93305807,1.857142857,2.162939297,2,0,12,2,2,1.138412137,1.906272473,6.830472824,0.232310684,5.02440186,28.16666667,62.63039731,169,2,156,1,0,6,1,1,0.07155333,0.049065081,0.429319982,0.001152338,0.142857143,1,0,6,1,1,1.344899368,0.428233281,8.069396207,1,1.97784174,0,0,0,0,0,0,0,0,0,0
20,1,0,11,75,112,0,2,11,0.7632,1473,1,0,0,0.2211,0,0,72.45,5.2,17,1,20,6.896551724,0.157894737,38,12.66666667,19,107.7368421,105.6329295,2047,19,383,110.7368421,109.243277,2104,18,391,29.10526316,25.17912437,553,9,100,57.47368421,50.46271277,1092,14,199,1.736842105,0.933458638,33,1,5,2.421052632,0.768533197,46,2,5,20.8862396,18.90941196,396.8385524,6.345811052,80.17488005,5.001574928,0.848200518,95.02992362,3.972722607,7.343936678,4.696145809,0.651425918,89.22677037,3.891634483,6.469567508,0.009109869,0.011548297,0.173087516,0.000106215,0.046481461,0.009109869,0.011548297,0.173087516,0.000106215,0.046481461,0.305429118,0.532545349,5.803153251,0.000389223,2.213609288,2.291645506,0.221046091,43.54126461,1.975376681,2.815219519,2.181254201,0.200568222,41.44382982,1.902113033,2.638412272,-2.287167718,0.221662866,-43.45618665,-2.813617751,-1.975376681,-2.176005039,0.198435356,-41.34409574,-2.638411725,-1.902113033,0.110391305,0.111540873,2.097434792,0.002152581,0.398734799,1.437770268,0.017526391,27.31763509,1.414213562,1.477097892,1.275195596,0.017937825,24.22871633,1.232232077,1.304767879,2.031274289,0.064150103,38.59421149,1.894736842,2.148760331,2,0,38,2,2,0.337827626,0.082515511,6.418724903,0.232310684,0.526959154,3.263157895,0.991189256,62,2,6,1,0,19,1,1,0.036200062,0.025399119,0.687801181,0.005344962,0.105263158,1,0,19,1,1,1.213952707,0.184212996,23.06510143,1,1.554132231,0,0,0,0,0,0,0,0,0,0
5,1,0,4,27,4,0,3,4,0.625,547,1,0,0,0.5,0,0,107.6,8,16,1,40,4.87804878,0.4,31,15.5,5,147.4,126.0289649,737,24,345,154,131.8294353,770,23,358,21.6,7.436396977,108,12,29,41.6,14.84250653,208,23,58,3,3.391164992,15,1,9,2.8,1.303840481,14,2,5,15.8221467,5.739003907,79.11073351,8.333333333,22.23838895,6.055934355,2.007019275,30.27967177,3.982889723,9.254774433,5.02785563,0.785942561,25.13927815,3.931851653,5.869037726,0.007148693,0.006033395,0.035743466,0.002396433,0.017110277,0.007148693,0.006033395,0.035743466,0.002396433,0.017110277,1.028078725,1.361194577,5.140393626,0.05103807,3.385736707,2.526776299,0.417235356,12.63388149,1.984229403,3.127110196,2.276857198,0.23056895,11.38428599,1.937166322,2.527006331,-2.505285263,0.4291025,-12.52642631,-3.127110195,-1.984229403,-2.261386149,0.233818181,-11.30693074,-2.526679438,-1.937166322,0.249919101,0.246681377,1.249595505,0.04706308,0.676230505,1.445359722,0.01996694,7.226798609,1.414213562,1.468977446,1.282801555,0.02313907,6.414007774,1.243830926,1.305982995,2.059475366,0.085197891,10.29737683,1.916666667,2.146596859,2,0,10,2,2,0.394146058,0.06930459,1.970730289,0.282329851,0.458230509,4.4,2.302172887,22,2,8,1,0,5,1,1,0.029908303,0.031078786,0.149541514,0.00603303,0.083333333,1,0,5,1,1,1.517079684,0.343430991,7.585398418,1,1.802204464,0,0,0,0,0,0,0,0,0,0
2,0,0,3,12,0,0,2,3,0,102,1,0,0,0.5833,0,0,48,6.5,12,1,50,18.18181818,0.5,12,12,2,74,56.56854249,148,34,114,78.5,64.34671709,157,33,124,19,2.828427125,38,17,21,37,5.656854249,74,33,41,2,0,4,2,2,3,1.414213562,6,2,4,12.98028256,1.857733419,25.96056513,11.66666667,14.29389846,6.112100606,2.999026894,12.22420121,3.991468353,8.23273286,5.672181041,2.412980454,11.34436208,3.965946199,7.378415883,0.006034336,0.003531732,0.012068672,0.003537024,0.008531647,0.006034336,0.003531732,0.012068672,0.003537024,0.008531647,0.439919565,0.58604644,0.87983913,0.025522153,0.854316977,2.463897413,0.667436429,4.927794825,1.991948588,2.935846238,2.424064704,0.645172043,4.848129407,1.967859177,2.88027023,-2.453852389,0.65323062,-4.907704779,-2.915756191,-1.991948588,-2.369274343,0.567686772,-4.738548686,-2.770689509,-1.967859177,0.039832709,0.022264386,0.079665418,0.024089411,0.055576008,1.447831134,0.047542425,2.895662267,1.414213562,1.481448705,1.279252027,0.038109785,2.558504054,1.25230434,1.306199714,2.058307534,0.165648338,4.116615067,1.941176471,2.175438596,2,0,4,2,2,0.460196327,0.313055622,0.920392653,0.238832574,0.68156008,4.5,3.535533906,9,2,7,1,0,2,1,1,0.039037599,0.027981531,0.078075198,0.019251669,0.058823529,1,0,2,1,1,1.18747089,0.265123875,2.374941779,1,1.374941779,0,0,0,0,0,0,0,0,0,0
2,1,0,1,15,0,0,2,1,1,125,1,0,0,0.75,0,0,59.5,6,11,1,50,0,0.5,21,21,2,99,113.137085,198,19,179,108,127.2792206,216,18,198,16.5,10.60660172,33,9,24,32.5,20.50609665,65,18,47,1.5,0.707106781,3,1,2,2.5,0.707106781,5,2,3,12.57092043,8.349875745,25.14184086,6.666666667,18.47517419,5.627694221,2.340483302,11.25538844,3.972722607,7.282665836,5.501325945,2.276447496,11.00265189,3.891634483,7.111017406,0.014973025,0.017401005,0.02994605,0.002668656,0.027277393,0.014973025,0.017401005,0.02994605,0.002668656,0.027277393,0.126368277,0.064035807,0.252736553,0.081088123,0.17164843,2.692948188,1.014799357,5.385896376,1.975376681,3.410519695,2.649439379,1.056879055,5.298878759,1.902113033,3.396765726,-2.369149741,0.556879202,-4.738299483,-2.762922802,-1.975376681,-2.24998623,0.491966994,-4.49997246,-2.597859427,-1.902113033,0.043508809,0.042079698,0.087017618,0.013753969,0.073263649,1.452881395,0.054684574,2.905762791,1.414213562,1.491549229,1.273395544,0.058213933,2.546791089,1.232232077,1.314559011,2.053513672,0.224544347,4.107027345,1.894736842,2.212290503,2,0,4,2,2,0.492711169,0.250894781,0.985422337,0.315301768,0.67012057,4,2.828427125,8,2,6,1,0,2,1,1,0.058845878,0.065643947,0.117691756,0.012428598,0.105263158,1,0,2,1,1,1.331429289,0.468711795,2.662858578,1,1.662858578,0.016387337,0.023175194,0.032774674,0,0.032774674,0.042857143,0.060609153,0.085714286,0,0.085714286
2,1,0,2,21,0,0,2,2,0.6667,160,1,0,0,0.6667,0,0,77.5,7.5,13,2,50,15.38461538,0.5,13,13,2,122.5,112.4299782,245,43,202,128,120.2081528,256,43,213,26.5,16.26345597,53,15,38,52.5,33.23401872,105,29,76,1.5,0.707106781,3,1,2,2,0,4,2,2,18.17149475,10.18744285,36.3429895,10.96788483,25.37510467,5.074538926,0.748641154,10.14907785,4.545169689,5.603908163,5.038620572,0.761954811,10.07724114,4.499837159,5.577403986,0.005226849,0.005020317,0.010453699,0.001676949,0.00877675,0.005226849,0.005020317,0.010453699,0.001676949,0.00877675,0.035918354,0.013313656,0.071836707,0.026504177,0.04533253,2.324758935,0.238530789,4.64951787,2.156092197,2.493425673,2.293813617,0.24936688,4.587627234,2.117484605,2.470142629,-2.298489491,0.201380185,-4.596978982,-2.440886785,-2.156092197,-2.244536174,0.179678052,-4.489072349,-2.371587743,-2.117484605,0.030945318,0.010836091,0.061890636,0.023283044,0.038607592,1.443383674,0.017583304,2.886767348,1.4309504,1.455816948,1.277789633,0.02544706,2.555579265,1.259795844,1.295783421,2.054455446,0.07701163,4.108910891,2,2.108910891,2,0,4,2,2,0.374274665,0.005218176,0.74854933,0.370584857,0.377964473,3.5,0.707106781,7,3,4,1,0,2,1,1,0.029055571,0.026252721,0.058111142,0.010492094,0.047619048,1,0,2,1,1,1.39901468,0.460927525,2.798029359,1.073089701,1.724939658,0,0,0,0,0,0,0,0,0,0
4,1,0,7,32,0,0,2,7,0.5833,257,1,0,0,0.4444,0,0,62.25,5.25,9,1,0,0,0,0,0,3,131.3333333,95.55277774,394,66,241,137.6666667,96.93468591,413,72,249,25.66666667,19.3993127,77,13,48,51,38.22302971,153,26,95,1.333333333,0.577350269,4,1,2,6,5.196152423,18,3,12,18.70869937,13.21208185,56.12609811,9.547179898,33.85397649,6.950858536,1.301810423,20.85257561,5.577403986,8.166667399,6.329392213,1.593008822,18.98817664,5.333333623,8.166666658,0.004915124,0.004044433,0.014745373,0.000927886,0.009014423,0.004915124,0.004044433,0.014745373,0.000927886,0.009014423,0.621466323,0.873605048,1.864398968,7.40926E-07,1.620327864,2.915359885,0.452959612,8.746079656,2.493425622,3.394004095,2.512604656,0.299811848,7.537813969,2.309817914,2.856990409,-2.541265838,0.274618584,-7.623797515,-2.858101356,-2.371587194,-2.470443119,0.336851595,-7.411329356,-2.857543482,-2.2439691,0.402755229,0.544795855,1.208265687,0.00165953,1.022998448,1.463872582,0.023986355,4.391617746,1.440486029,1.488416815,1.287882623,0.013305047,3.863647868,1.27533721,1.301835416,2.121050251,0.05795595,6.363150752,2.066390041,2.181818182,2,0,6,2,2,0.590127289,0.249104568,1.770381867,0.309150444,0.783927016,5.666666667,1.527525232,17,4,7,1,0,3,1,1,0.022256249,0.012641181,0.066768747,0.008609959,0.033566434,1,0,3,1,1,1.516928347,0.294476677,4.550785041,1.192074592,1.766355463,0.014814815,0.025660012,0.044444444,0,0.044444444,0.04,0.069282032,0.12,0,0.12
