Number of Methods,depthOfInheritanceTree,Number of Children ,Coupling between Object Classes,Response for a Class,Lack of Cohesion in Methods,Afferent Coupling ,Number of Public Methods,Efferent Couplings,Lack of Cohesion in Methods 3,Lines of Code,Data Access Metric,Measure of Agregation,Measure of Funcional Abstraction,Cohesion Among Methods,Inheritance Coupling,Coupling Between Methods,Average Method Complexity,Average CC,Max CC,Min CC,Class Complexity CKJM
5,1,0,1,20,4,0,3,1,1.0625,187,1,0,0,0.5333,0,0,35.6,5.2,11,1,20
3,1,0,0,11,3,0,2,0,2,113,0,0,0,0.4167,0,0,36.6667,5.333333333,9,1,0
4,1,0,7,11,6,0,3,7,2,59,0,0,0,0.375,0,0,13.75,7.75,14,1,50
7,1,0,3,19,3,0,1,3,0.7143,1680,0.7143,0,0,0.6111,0,0,238,23.71428571,156,1,14.28571429
20,1,0,11,75,112,0,2,11,0.7632,1473,1,0,0,0.2211,0,0,72.45,5.2,17,1,20
5,1,0,4,27,4,0,3,4,0.625,547,1,0,0,0.5,0,0,107.6,8,16,1,40
2,0,0,3,12,0,0,2,3,0,102,1,0,0,0.5833,0,0,48,6.5,12,1,50
2,1,0,1,15,0,0,2,1,1,125,1,0,0,0.75,0,0,59.5,6,11,1,50
2,1,0,2,21,0,0,2,2,0.6667,160,1,0,0,0.6667,0,0,77.5,7.5,13,2,50
4,1,0,7,32,0,0,2,7,0.5833,257,1,0,0,0.4444,0,0,62.25,5.25,9,1,0
2,0,0,5,21,0,0,2,5,0,134,1,0,0,0.75,0,0,65.5,5,8,2,0
2,0,0,5,24,0,0,2,5,0,187,1,0,0,0.6667,0,0,91.5,5,8,2,0
4,1,0,3,18,6,0,1,3,2,361,0,0,0,0.4167,0,0,89.25,6,18,1,25
2,0,0,5,23,0,0,2,5,0,167,1,0,0,0.75,0,0,82,7,12,2,50
3,1,0,5,21,0,0,3,5,0.2,216,0.2,0,0,0.5556,0,0,69.3333,5.666666667,11,2,33.33333333
8,0,0,16,114,22,0,3,16,0.5714,1435,1,0,0,0.3409,0,0,177.875,7,21,1,12.5
21,1,0,41,247,188,0,4,41,0.9,4331,1,0,0,0.1321,0,0,204.7619,6.19047619,89,1,9.523809524
18,0,0,17,149,139,0,3,17,0.8971,2531,1,0,0,0.2275,0,0,139.3889,9.222222222,77,1,27.77777778
22,0,0,17,158,173,0,3,17,0.8952,2925,1,0,0,0.2015,0,0,131.7273,6.545454545,37,1,13.63636364
