depthOfInheritanceTree,Coupling between Object Classes,Response for a Class,Lack of Cohesion in Methods,Afferent Coupling ,Efferent Couplings,Lack of Cohesion in Methods 3,Data Access Metric,Cohesion Among Methods,Inheritance Coupling,Coupling Between Methods,Average Method Complexity,Average CC,Max CC,Min CC
1,2,3,1,0,2,2,0,0.6667,0,0,1.5,1,1,1
0,5,11,1,0,5,2,0,0.75,0,0,21.5,2,3,1
0,3,8,1,0,3,2,0,0.6667,0,0,21,2,3,1
1,0,33,15,0,0,0.66,0.8,0.6818,0,0,15.8182,1.181818182,2,1
1,2,34,0,0,2,0.4286,0,0.5,0,0,29.75,2,4,1
1,0,15,0,0,0,0,1,0.375,1,1,7,1,1,1
1,3,3,1,0,3,2,0,0.75,0,0,1.5,1,1,1
1,1,20,0,0,1,0.5714,0.5,0.375,0,0,10.25,1.125,2,1
0,1,10,1,0,1,2,0,0.75,0,0,26.5,3,5,1
1,1,3,1,0,1,2,0,0.75,0,0,1.5,1,1,1
0,1,9,1,0,1,2,0,0.75,0,0,20.5,2.5,4,1
0,1,9,1,0,1,2,0,0.75,0,0,12,1.5,2,1
1,3,14,0,0,3,0,0,0.5833,0,0,28.6667,2.666666667,5,1
1,1,23,0,0,1,0.25,0,0.5556,0,0,13.1111,1.333333333,3,1
1,3,15,15,0,3,2,0,0.7778,0,0,24.1667,2.5,5,1
1,4,20,8,0,4,0.9286,0,0.6,0,0,22,1.2,2,1
1,2,14,6,0,2,2,0,0.25,0,0,7.75,1,1,1
5,4,84,2,0,4,0.6121,0.9818,0.625,0,0,308,3.25,10,1
1,0,11,0,0,0,0.25,0,0.6667,0,0,15.6667,1.666666667,3,1
1,7,35,108,0,7,0.8187,1,0.3158,1,1,24.35,2.8,30,1
1,7,33,24,0,7,0.7273,1,0.2879,1,1,20.8333,2.583333333,14,1
1,9,36,42,0,9,0.7467,1,0.1933,1,1,18.5625,2.375,14,1
0,9,29,36,0,9,0.75,1,0.2917,0,0,18.2308,2.230769231,14,1
1,8,36,42,0,8,0.7467,1,0.2148,1,1,18.5625,2.375,14,1
1,8,25,13,0,8,0.6944,1,0.2778,1,1,16.7,2.1,10,1
1,8,25,13,0,8,0.6944,1,0.2778,1,1,16.7,2.1,10,1
1,8,38,50,0,8,0.7667,1,0.225,1,1,20.5,2.5,18,1
0,23,63,4,0,23,0.2,0.8,0.2976,0,0,163.6923,1,1,1
1,7,25,0,0,7,0.0417,1,0.3333,0,0,11.9231,1.230769231,2,1
0,7,35,43,0,7,0.5476,1,0.3,0,0,13.9333,1.066666667,2,1
1,5,13,5,0,5,0.7222,1,0.3333,1,1,13.1429,1.857142857,6,1
1,7,25,13,0,7,0.6944,1,0.3333,1,1,16.7,2.1,10,1
1,7,27,24,0,7,0.7273,1,0.3273,1,1,19.25,2.333333333,14,1
1,9,36,42,0,9,0.7467,1,0.1933,1,1,18.5625,2.375,14,1
1,9,36,42,0,9,0.7467,1,0.1933,1,1,18.5625,2.375,14,1
1,9,36,42,0,9,0.7467,1,0.1933,1,1,18.5625,2.375,14,1
1,8,25,13,0,8,0.6944,1,0.2778,1,1,16.7,2.1,10,1
1,7,33,81,0,7,0.8015,1,0.2745,1,1,22.5556,2.5,23,1
1,8,39,139,0,8,0.8333,1,0.2698,1,1,24.9091,2.863636364,34,1
1,9,49,303,0,9,0.8744,1,0.2069,1,1,26.0333,2.9,47,1
1,7,31,39,0,7,0.7564,1,0.2821,1,1,20.2143,2.214285714,15,1
1,7,48,354,0,7,0.8817,1,0.2304,1,1,25.7813,2.71875,45,1
1,7,53,468,0,7,0.8941,1,0.2286,1,1,24,2,32,1
1,8,59,598,0,8,0.9042,1,0.2019,1,1,24.425,2.05,37,1
1,8,43,174,0,8,0.8458,1,0.236,1,1,23,2.083333333,23,1
1,7,44,213,0,7,0.8567,1,0.21,1,1,24.5385,2.538461538,33,1
1,7,47,354,0,7,0.8817,1,0.2634,1,1,24.5625,2.4375,39,1
1,7,59,669,0,7,0.9085,1,0.2265,1,1,26.7381,2.785714286,62,1
1,7,35,81,0,7,0.8015,1,0.2745,1,1,22.8333,2.5,23,1
1,7,29,39,0,7,0.7564,1,0.3231,1,1,21.0714,2.5,18,1
1,7,29,39,0,7,0.7564,1,0.3231,1,1,21.0714,2.5,18,1
1,7,33,81,0,7,0.8015,1,0.2745,1,1,22.5556,2.5,23,1
1,8,63,744,0,8,0.9125,1,0.2006,1,1,23.7727,2,39,1
1,8,65,823,0,8,0.9162,1,0.2,1,1,24.1304,2.065217391,43,1
1,7,47,303,0,7,0.8744,1,0.2644,1,1,23.3,1.833333333,23,1
1,7,53,531,0,7,0.8994,1,0.2613,1,1,25.7368,2.605263158,51,1
1,5,23,46,0,5,0.984,0.1765,0.2909,1,1,9.5833,1.083333333,2,1
1,8,53,468,0,8,0.8941,1,0.2286,1,1,25.7778,2.666666667,50,1
1,8,55,531,0,8,0.8994,1,0.2278,1,1,25.6579,2.605263158,51,1
1,7,43,256,0,7,0.8661,1,0.2654,1,1,24.1071,2.428571429,34,1
1,7,43,256,0,7,0.8661,1,0.2654,1,1,24.1071,2.428571429,34,1
1,8,35,81,0,8,0.8015,1,0.2437,1,1,20.5,2.055555556,17,1
1,8,51,409,0,8,0.8883,1,0.2626,1,1,27.4118,3.088235294,58,1
1,8,53,468,0,8,0.8941,1,0.2286,1,1,27.1944,3,59,1
1,7,43,256,0,7,0.8661,1,0.2654,1,1,24.1071,2.428571429,34,1
1,7,33,58,0,7,0.781,1,0.2778,1,1,21.6875,2.375,19,1
1,8,39,139,0,8,0.8333,1,0.2381,1,1,24.1364,2.681818182,31,1
1,8,46,108,0,8,0.8187,1,0.193,1,1,25.5,2.95,30,1
1,9,52,256,0,9,0.8661,1,0.2083,1,1,29.2143,3.321428571,46,1
1,5,23,46,0,5,0.984,0.1765,0.2909,1,1,9.5833,1.083333333,2,1
0,58,131,0,0,58,0.096,0.8,0.1108,0,0,181.8289,1,1,1
0,7,35,43,0,7,0.5476,1,0.3,0,0,13.9333,1.066666667,2,1
