NoGenSMAVG,NoSMAVG,NoPubSMAVG,NoProSMAVG,NoPriSMAVG,NoDefSMAVG,NoGenMAVG,NoMAVG,NoPubMAVG,NoProMAVG,NoPriMAVG,NoDefMAVG,NoAMAVG,NoPubAMAVG,NoProAMAVG,NoDefAMAVG,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,NoGenSMMAX,NoSMMAX,NoPubSMMAX,NoProSMMAX,NoPriSMMAX,NoDefSMMAX,NoGenMMAX,NoMMAX,NoPubMMAX,NoProMMAX,NoPriMMAX,NoDefMMAX,NoAMMAX,NoPubAMMAX,NoProAMMAX,NoDefAMMAX,NoGenSMSTD,NoSMSTD,NoPubSMSTD,NoProSMSTD,NoPriSMSTD,NoDefSMSTD,NoGenMSTD,NoMSTD,NoPubMSTD,NoProMSTD,NoPriMSTD,NoDefMSTD,NoAMSTD,NoPubAMSTD,NoProAMSTD,NoDefAMSTD,NoGenSMSUM,NoSMSUM,NoPubSMSUM,NoProSMSUM,NoPriSMSUM,NoDefSMSUM,NoGenMSUM,NoMSUM,NoPubMSUM,NoProMSUM,NoPriMSUM,NoDefMSUM,NoAMSUM,NoPubAMSUM,NoProAMSUM,NoDefAMSUM
0.20554935,0.96316377,0.68840695,0.01188008,0.1614575,0.10141923,0.60508691,5.16640089,4.19638016,0.37171105,0.35712008,0.2411896,0.59217031,0.54026471,0.03548079,0.01642481,1.97,1.9,2.13,1.2,242.61,31.43,174.4,37.96,4131,9417,9471,23882,1603,24700,65099,19443,74516,40480,2834,7080,3066,61536,388897,50389,279564,83102,147442,60851,11024649407,132173,184100,79029,105071,49653,47867,53602,30261,22227,125,125,289,125,904,8,0.22,49653,47867,53602,30261,49,222,217,10,59,65,65,585,549,396,67,59,142,142,10,14,1.211676772,5.107209849,4.314009911,0.193799341,1.189097715,1.152643321,2.507598466,13.12117067,11.22717882,3.815383102,1.764016224,1.39514699,3.492656559,3.469205341,0.326196257,0.247521302,2696,12715,8861,167,2221,1466,7990,66947,54217,4902,4699,3129,7628,6956,457,215
0.20573705,0.96374502,0.6885259,0.01187251,0.16199203,0.10135458,0.60454183,5.16661355,4.19657371,0.37179283,0.35689243,0.24135458,0.59195219,0.54007968,0.03545817,0.01641434,1.98,1.91,2.13,1.2,243.45,31.51,175.07,38.08,4157,9498,9507,24047,1611,24867,65517,19497,75015,40946,2876,7173,3090,61876,392201,50770,282034,83790,148752,61344,11027134944,133314,185642,79659,105983,50013,48227,53986,30468,22324,125,125,289,125,904,8,0.22,50013,48227,53986,30468,49,222,217,10,59,65,65,585,549,396,67,59,142,142,10,14,1.212383341,5.108001947,4.314633686,0.193828996,1.189449273,1.152818782,2.507964258,13.12087446,11.22702401,3.815961299,1.763903237,1.395355045,3.490386832,3.466913298,0.32624581,0.247559175,2697,12710,8857,167,2220,1466,7989,66933,54208,4901,4695,3129,7626,6954,457,215
0.20561565,0.96285396,0.68779828,0.01185173,0.16186764,0.1013363,0.60451798,5.16131085,4.19241171,0.37146039,0.35650652,0.24093223,0.59131403,0.53945275,0.03547566,0.01638562,1.98,1.91,2.13,1.2,242.82,31.47,174.58,37.97,4184,9537,9591,24154,1626,24979,65810,19583,75347,41244,2892,7239,3105,62111,394818,51176,283871,84428,149785,61732,11037301707,134355,186930,80275,106655,50233,48443,54208,30595,22441,125,125,289,125,904,8,0.22,50233,48443,54208,30595,49,222,217,10,59,65,65,585,549,396,67,59,142,142,10,14,1.212545726,5.102891583,4.31276295,0.193858664,1.189305976,1.152994323,2.508326718,13.12272648,11.2285945,3.816542247,1.764163069,1.395563194,3.49090831,3.467433632,0.326295386,0.247597065,2696,12703,8853,167,2217,1466,7989,66921,54196,4901,4695,3129,7626,6954,457,215
0.20547074,0.96366094,0.68821565,0.01216603,0.16197519,0.10130407,0.6048028,5.16086196,4.19187341,0.37134224,0.35687023,0.24077608,0.5913645,0.53951972,0.03546438,0.01638041,1.98,1.91,2.13,1.2,244.54,31.73,175.94,38.08,4194,9576,9615,24236,1631,25060,66023,19628,75599,41430,2889,7272,3117,62321,398850,51751,286955,84931,152297,62113,11037555996,135897,188665,80699,107966,50411,48619,54401,30718,22514,125,125,289,125,904,8,0.22,50411,48619,54401,30718,49,222,217,10,59,65,65,585,549,396,67,59,142,142,10,14,1.212590975,5.103080554,4.312924604,0.193866084,1.189350754,1.153038221,2.508420857,13.12303961,11.22888454,3.816685043,1.764228045,1.395615246,3.491038716,3.467563752,0.326307783,0.24760654,2696,12703,8853,167,2217,1466,7988,66917,54193,4900,4695,3129,7626,6954,457,215
0.20530959,0.9646292,0.68881647,0.0121612,0.16214927,0.10150227,0.60472141,5.16214927,4.19306891,0.37111517,0.35736428,0.24060091,0.59144742,0.53970273,0.0353708,0.0163739,1.98,1.91,2.13,1.2,245.61,31.8,176.46,38.56,4204,9642,9645,24352,1636,25179,66310,19667,75952,41692,2896,7329,3111,62616,401824,52031,288691,85356,153343,63081,11073294590,136635,189702,81112,108590,50658,48866,54672,30843,22552,125,125,289,125,904,8,0.22,50658,48866,54672,30843,49,222,217,10,59,65,65,585,549,396,67,59,142,142,10,14,1.192249526,5.078823184,4.345200594,0.191772275,1.13554145,1.069123805,2.36182402,13.08227696,11.18494285,3.860741242,1.746388722,1.406489139,3.528367065,3.504881296,0.326012824,0.249664974,2594,12142,8671,154,2041,1276,7639,65029,52809,4675,4514,3031,7444,6793,445,206
0.20554675,0.96212361,0.68708399,0.01220285,0.16172742,0.10110935,0.60530903,5.15285262,4.18454834,0.37044374,0.35768621,0.24017433,0.58985737,0.53827258,0.03526149,0.0163233,1.98,1.91,2.14,1.2,246.59,32,177.12,38.67,4215,9663,9693,24443,1640,25273,66568,19712,76231,42034,2902,7386,3120,62823,404403,52480,290479,85700,154448,63424,11073135075,137510,190892,81499,109393,50918,49126,54951,30943,22578,125,125,289,125,904,8,0.22,50918,49126,54951,30943,49,222,217,10,59,65,65,585,549,396,67,59,142,142,10,14,1.192759777,5.084652289,4.347155373,0.191866103,1.137310651,1.070794358,2.363166192,13.09586069,11.19912491,3.866711216,1.742124117,1.408488834,3.53327984,3.509776262,0.326511818,0.250049987,2583,12136,8666,153,2040,1277,7608,64945,52753,4669,4496,3027,7441,6790,445,206
0.20727301,0.97662797,0.68063351,0.01283924,0.17044668,0.11270854,0.61413085,5.14469132,4.16644884,0.37672023,0.36095948,0.24056277,0.58629969,0.5346352,0.03513493,0.01652956,1.98,1.91,2.14,1.2,246.81,32.04,177.29,38.69,4223,9711,9714,24506,1644,25336,66709,19718,76420,42324,2905,7425,3120,62970,405760,52676,291462,86016,155015,63601,11073134997,138036,191539,81777,109762,51035,49243,55078,31027,22591,125,125,289,125,904,8,0.22,51035,49243,55078,31027,49,222,217,10,59,65,65,585,549,396,67,59,142,142,10,14,1.192809498,5.081010344,4.3409342,0.191904087,1.138788715,1.070099436,2.363612211,13.09248996,11.19490328,3.867352008,1.743544218,1.409057454,3.53361068,3.510099463,0.326689055,0.250099477,2584,12119,8655,153,2037,1274,7606,64903,52717,4670,4488,3028,7437,6785,446,206
0.20725707,0.97655289,0.68058118,0.01283825,0.17043358,0.11269988,0.61416052,5.14460332,4.16635916,0.37676814,0.36093173,0.24054428,0.58625461,0.5345941,0.03513223,0.01652829,1.98,1.91,2.14,1.2,247.07,32.08,177.46,38.73,4225,9714,9720,24523,1644,25353,66757,19733,76471,42343,2905,7428,3123,63015,406186,52739,291748,86076,155210,63680,11073134976,138200,191735,81830,109905,51070,49278,55116,31046,22599,125,125,289,125,904,8,0.22,51070,49278,55116,31046,49,222,217,10,59,65,65,585,549,396,67,59,142,142,10,14,1.193279901,5.078007869,4.337309085,0.189451813,1.138849138,1.070268132,2.363076065,13.08843383,11.1928385,3.867961519,1.743314528,1.409741129,3.526728218,3.503162421,0.326740409,0.25013909,2585,12105,8647,149,2035,1274,7600,64888,52707,4670,4482,3029,7434,6782,446,206
0.20727021,0.97679066,0.68067937,0.01283431,0.17061174,0.11266523,0.61397172,5.14394405,4.16600062,0.37665232,0.36082078,0.24047034,0.58607439,0.53442976,0.03512143,0.01652321,1.98,1.91,2.13,1.2,247.45,32.15,177.78,38.72,4238,9750,9750,24634,1651,25464,67054,19763,76804,42775,2905,7473,3132,63294,408539,53086,293515,86575,156346,63922,11224131700,139017,192727,82264,110463,51229,49437,55285,31157,22604,125,125,289,125,904,8,0.22,51229,49437,55285,31157,49,222,217,10,59,65,65,585,549,396,67,59,142,142,10,14,1.194101937,5.073833381,4.333428367,0.189617143,1.135577155,1.071063699,2.364989343,13.09251363,11.19569515,3.871308442,1.743799003,1.410940094,3.524839429,3.501250089,0.326666261,0.250357298,2582,12095,8641,149,2033,1272,7587,64841,52667,4666,4479,3029,7429,6778,445,206
0.20712969,0.97687462,0.68077751,0.01283036,0.17063614,0.11263061,0.61385987,5.14343884,4.1654118,0.3766134,0.36101721,0.24039644,0.58604794,0.53441918,0.03511063,0.01651813,1.98,1.91,2.13,1.2,247.42,32.14,177.76,38.73,4245,9771,9801,24677,1655,25507,67166,19796,76937,42972,2905,7515,3135,63382,409481,53196,294185,86756,156677,64101,11224226829,139292,193109,82416,110693,51330,49538,55391,31210,22646,125,125,289,125,904,8,0.22,51330,49538,55391,31210,49,222,217,10,59,65,65,585,549,396,67,59,142,142,10,14,1.194726551,5.073836744,4.333879821,0.189677371,1.135180195,1.07162541,2.365788214,13.08753243,11.19045241,3.872520972,1.745428436,1.411261896,3.52335705,3.499745603,0.326769199,0.250436788,2578,12080,8634,149,2025,1272,7589,64797,52631,4662,4479,3025,7427,6776,445,206
