NoGenSM,NoSM,NoPubSM,NoProSM,NoPriSM,NoDefSM,NoGenM,NoM,NoPubM,NoProM,NoPriM,NoDefM,NoAM,NoPubAM,NoProAM,NoDefAM,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxNesting,MinEssentialKnots,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
0.205549354,0.96316377,0.688406953,0.011880083,0.161457503,0.101419231,0.605086908,5.166400893,4.196380163,0.371711051,0.357120077,0.241189603,0.592170308,0.540264711,0.035480785,0.016424813,1.97,1.9,2.13,1.2,242.61,31.43,174.4,37.96,"4,131","9,417","9,471","23,882","1,603","24,700","65,099","19,443","74,516","40,480","2,834","7,080","3,066","61,536","388,897","50,389","279,564","83,102","147,442","60,851","11,024,649,407","132,173","184,100","79,029","105,071","49,653","47,867","53,602","30,261","22,227",125,125,289,125,904,8,0,0.22,"49,653","47,867","53,602","30,261"
0.205737052,0.96374502,0.688525896,0.01187251,0.161992032,0.101354582,0.604541833,5.166613546,4.196573705,0.371792829,0.35689243,0.241354582,0.591952191,0.540079681,0.035458167,0.016414343,1.98,1.91,2.13,1.2,243.45,31.51,175.07,38.08,"4,157","9,498","9,507","24,047","1,611","24,867","65,517","19,497","75,015","40,946","2,876","7,173","3,090","61,876","392,201","50,770","282,034","83,790","148,752","61,344","11,027,134,944","133,314","185,642","79,659","105,983","50,013","48,227","53,986","30,468","22,324",125,125,289,125,904,8,0,0.22,"50,013","48,227","53,986","30,468"
0.205615654,0.962853961,0.687798282,0.011851734,0.161867642,0.101336303,0.604517976,5.16131085,4.192411709,0.371460388,0.356506522,0.24093223,0.591314031,0.539452752,0.03547566,0.016385619,1.98,1.91,2.13,1.2,242.82,31.47,174.58,37.97,"4,184","9,537","9,591","24,154","1,626","24,979","65,810","19,583","75,347","41,244","2,892","7,239","3,105","62,111","394,818","51,176","283,871","84,428","149,785","61,732","11,037,301,707","134,355","186,930","80,275","106,655","50,233","48,443","54,208","30,595","22,441",125,125,289,125,904,8,0,0.22,"50,233","48,443","54,208","30,595"
0.205470738,0.963660941,0.688215649,0.012166031,0.161975191,0.101304071,0.604802799,5.160861959,4.19187341,0.371342239,0.356870229,0.240776081,0.591364504,0.53951972,0.035464377,0.016380407,1.98,1.91,2.13,1.2,244.54,31.73,175.94,38.08,"4,194","9,576","9,615","24,236","1,631","25,060","66,023","19,628","75,599","41,430","2,889","7,272","3,117","62,321","398,850","51,751","286,955","84,931","152,297","62,113","11,037,555,996","135,897","188,665","80,699","107,966","50,411","48,619","54,401","30,718","22,514",125,125,289,125,904,8,0,0.22,"50,411","48,619","54,401","30,718"
0.205309594,0.964629203,0.688816469,0.012161195,0.162149273,0.101502265,0.604721405,5.162149273,4.193068913,0.371115174,0.357364279,0.240600906,0.591447421,0.539702726,0.035370797,0.016373897,1.98,1.91,2.13,1.2,245.61,31.8,176.46,38.56,4204,9642,9645,24352,1636,25179,66310,19667,75952,41692,2896,7329,3111,62616,401824,52031,288691,85356,153343,63081,11073294590,136635,189702,81112,108590,50658,48866,54672,30843,22552,125,125,289,125,904,8,0,0.22,50658,48866,54672,30843
0.205546751,0.962123613,0.687083994,0.012202853,0.161727417,0.10110935,0.605309033,5.152852615,4.184548336,0.37044374,0.357686212,0.240174326,0.589857369,0.538272583,0.03526149,0.016323296,1.98,1.91,2.14,1.2,246.59,32,177.12,38.67,"4,215","9,663","9,693","24,443","1,640","25,273","66,568","19,712","76,231","42,034","2,902","7,386","3,120","62,823","404,403","52,480","290,479","85,700","154,448","63,424","11,073,135,075","137,510","190,892","81,499","109,393","50,918","49,126","54,951","30,943","22,578",125,125,289,125,904,8,0,0.22,"50,918","49,126","54,951","30,943"
0.207273007,0.97662797,0.680633505,0.01283924,0.170446683,0.112708542,0.614130853,5.14469132,4.166448835,0.376720228,0.360959483,0.240562774,0.586299685,0.534635196,0.035134927,0.016529561,1.98,1.91,2.14,1.2,246.81,32.04,177.29,38.69,"4,223","9,711","9,714","24,506","1,644","25,336","66,709","19,718","76,420","42,324","2,905","7,425","3,120","62,970","405,760","52,676","291,462","86,016","155,015","63,601","11,073,134,997","138,036","191,539","81,777","109,762","51,035","49,243","55,078","31,027","22,591",125,125,289,125,904,8,0,0.22,"51,035","49,243","55,078","31,027"
0.207257073,0.976552891,0.680581181,0.012838253,0.170433579,0.112699877,0.614160517,5.144603321,4.166359164,0.376768143,0.360931734,0.24054428,0.586254613,0.534594096,0.035132226,0.01652829,1.98,1.91,2.14,1.2,247.07,32.08,177.46,38.73,"4,225","9,714","9,720","24,523","1,644","25,353","66,757","19,733","76,471","42,343","2,905","7,428","3,123","63,015","406,186","52,739","291,748","86,076","155,210","63,680","11,073,134,976","138,200","191,735","81,830","109,905","51,070","49,278","55,116","31,046","22,599",125,125,289,125,904,8,0,0.22,"51,070","49,278","55,116","31,046"
0.207270212,0.976790655,0.680679373,0.012834307,0.170611743,0.112665232,0.613971718,5.143944052,4.166000615,0.376652321,0.360820781,0.240470335,0.586074393,0.534429757,0.035121426,0.016523209,1.98,1.91,2.13,1.2,247.45,32.15,177.78,38.72,"4,238","9,750","9,750","24,634","1,651","25,464","67,054","19,763","76,804","42,775","2,905","7,473","3,132","63,294","408,539","53,086","293,515","86,575","156,346","63,922","11,224,131,700","139,017","192,727","82,264","110,463","51,229","49,437","55,285","31,157","22,604",125,125,289,125,904,8,0,0.22,"51,229","49,437","55,285","31,157"
0.207129687,0.976874616,0.680777505,0.012830363,0.17063614,0.112630608,0.613859865,5.143438844,4.165411801,0.376613399,0.36101721,0.240396435,0.586047941,0.534419176,0.035110633,0.016518132,1.98,1.91,2.13,1.2,247.42,32.14,177.76,38.73,"4,245","9,771","9,801","24,677","1,655","25,507","67,166","19,796","76,937","42,972","2,905","7,515","3,135","63,382","409,481","53,196","294,185","86,756","156,677","64,101","11,224,226,829","139,292","193,109","82,416","110,693","51,330","49,538","55,391","31,210","22,646",125,125,289,125,904,8,0,0.22,"51,330","49,538","55,391","31,210"
0.175093633,1.125780275,0.70411985,0.010611735,0.310237203,0.100811486,0.444132335,5.879525593,4.593632959,0.457865169,0.429775281,0.398252185,0.444756554,0.375156055,0.028401998,0.041198502,1.52,1.45,1.68,1.04,129.51,15.34,77.38,41.74,"2,749","2,660","3,731","8,901","1,231","8,905","24,182","7,262","26,842","19,440","3,731","4,302","1,815","16,994","159,429","18,886","95,252","47,533","50,910","51,384","1,655,118,852","42,035","57,238","33,440","23,798","13,884","13,311","15,371","9,564","3,603",81,81,81,41,424,8,0,0.54,"13,884","13,311","15,371","9,564"
0.174469413,1.127652934,0.70411985,0.010611735,0.312109863,0.100811486,0.444132335,5.881086142,4.593945069,0.457865169,0.43102372,0.398252185,0.444756554,0.375156055,0.028401998,0.041198502,1.57,1.5,1.73,1.06,130.98,15.4,78.86,41.65,"2,762","2,693","3,737","9,036","1,239","9,040","24,554","7,268","27,247","19,607","3,749","4,602","1,821","17,075","162,285","19,078","97,703","47,898","52,292","51,608","1,655,856,322","42,852","58,694","33,803","24,891","14,556","13,925","16,046","9,849","4,189",81,81,81,41,424,8,0,0.53,"14,556","13,925","16,046","9,849"
0.180343214,1.139157566,0.705460218,0.010920437,0.32199688,0.100780031,0.448049922,5.883307332,4.59625585,0.459282371,0.429641186,0.398127925,0.44524181,0.375663027,0.028393136,0.041185647,1.57,1.5,1.73,1.06,130.98,15.4,78.86,41.65,"2,762","2,693","3,737","9,036","1,239","9,040","24,554","7,268","27,247","19,607","3,749","4,602","1,821","17,075","162,285","19,078","97,703","47,898","52,292","51,608","1,655,856,322","42,852","58,694","33,803","24,891","14,556","13,925","16,046","9,849","4,189",81,81,81,41,424,8,0,0.53,"14,556","13,925","16,046","9,849"
0.179918927,1.138758965,0.705020268,0.010913626,0.322107889,0.100717181,0.447770502,5.884627378,4.597131275,0.458995946,0.430620518,0.397879638,0.446211413,0.376676021,0.028375429,0.041159963,1.55,1.48,1.7,1.05,131.12,15.46,78.98,41.55,"2,792","2,861","3,830","9,404","1,268","9,441","25,317","7,301","28,178","20,365","3,808","4,764","1,875","17,731","166,266","19,606","100,142","49,116","53,472","52,680","1,655,856,752","43,988","60,205","34,652","25,553","14,985","14,354","16,510","10,213","4,272",81,81,81,41,424,8,0,0.53,"14,985","14,354","16,510","10,213"
0.179750779,1.145794393,0.704672897,0.010903427,0.329595016,0.100623053,0.447352025,5.882554517,4.594080997,0.458566978,0.432398754,0.397507788,0.445794393,0.376323988,0.02834891,0.041121495,1.54,1.48,1.7,1.05,131.23,15.46,79.21,41.42,"2,823","2,948","3,836","9,524","1,280","9,556","25,588","7,385","28,536","20,978","3,836","4,857","1,878","17,965","167,971","19,788","101,385","49,586","54,206","53,018","1,655,856,926","44,535","60,924","34,971","25,953","15,149","14,519","16,681","10,332","4,302",81,81,81,41,424,8,0,0.52,"15,149","14,519","16,681","10,332"
