NoGenSM,NoSM,NoPubSM,NoProSM,NoPriSM,NoDefSM,NoGenM,NoM,NoPubM,NoProM,NoPriM,NoDefM,NoAM,NoPubAM,NoProAM,NoDefAM
49,222,217,10,59,65,65,585,549,396,67,59,142,142,10,14
49,222,217,10,59,65,65,585,549,396,67,59,142,142,10,14
49,222,217,10,59,65,65,585,549,396,67,59,142,142,10,14
49,222,217,10,59,65,65,585,549,396,67,59,142,142,10,14
49,222,217,10,59,65,65,585,549,396,67,59,142,142,10,14
49,222,217,10,59,65,65,585,549,396,67,59,142,142,10,14
49,222,217,10,59,65,65,585,549,396,67,59,142,142,10,14
49,222,217,10,59,65,65,585,549,396,67,59,142,142,10,14
49,222,217,10,59,65,65,585,549,396,67,59,142,142,10,14
49,222,217,10,59,65,65,585,549,396,67,59,142,142,10,14
17,92,65,8,70,33,31,154,154,43,116,59,150,150,3,9
17,92,65,8,70,33,31,154,154,43,116,59,150,150,3,9
17,92,65,9,70,33,31,154,154,43,116,59,150,150,3,9
17,92,65,9,70,33,31,154,154,43,116,59,150,150,3,9
17,92,65,9,70,33,31,154,154,43,116,59,150,150,3,9
17,92,65,9,70,33,31,154,154,43,116,59,150,150,3,9
17,92,65,9,70,33,31,154,154,43,116,59,150,150,3,9
17,92,65,9,70,33,31,154,154,43,116,59,150,150,3,9
17,92,80,9,70,30,28,154,154,43,116,59,150,150,3,9
17,92,80,9,70,30,28,154,154,43,117,59,150,150,3,9
17,222,217,8,36,20,4,350,180,87,260,65,244,244,7,46
17,222,217,10,43,21,11,350,180,87,260,66,244,244,7,46
34,222,217,10,43,21,25,350,180,85,260,66,244,244,7,46
34,222,217,10,43,21,26,350,180,85,260,66,244,244,7,46
36,232,227,10,43,21,11,350,180,85,260,66,244,244,7,46
36,232,227,10,43,21,54,350,180,85,260,66,244,244,7,46
36,1231,1200,14,272,25,59,350,281,102,260,67,244,244,69,26
24,1231,1200,14,272,25,59,350,281,102,260,68,244,244,69,26
76,1231,1200,14,272,25,59,427,392,102,260,68,374,374,69,26
75,1232,1201,14,272,25,59,427,392,102,269,68,374,374,71,26
33,26,22,3,15,6,2,142,129,12,18,5,125,125,5,4
34,25,22,3,15,6,13,142,129,12,18,5,125,125,5,4
34,25,22,3,17,6,13,142,129,12,18,5,125,125,5,4
34,25,22,3,17,6,13,142,129,12,18,5,125,125,5,4
33,28,23,3,23,6,13,218,202,15,18,5,195,195,6,4
33,28,23,3,23,6,13,218,202,15,18,5,195,195,6,4
33,30,26,3,20,9,13,426,392,34,18,16,374,374,6,4
33,96,96,3,20,9,13,427,392,34,24,16,374,374,6,4
33,96,96,3,20,9,13,427,392,34,24,16,374,374,6,4
33,30,26,5,20,9,13,429,392,34,25,16,374,374,6,4
2,123,123,0,4,7,2,337,333,4,13,12,8,8,1,4
2,123,123,0,4,7,2,338,334,4,13,12,8,8,1,4
2,123,123,0,4,7,2,338,334,4,13,12,9,9,1,4
2,123,123,0,4,7,2,338,334,4,13,12,9,9,1,4
2,123,123,0,4,7,2,338,334,4,13,12,9,9,1,4
2,123,123,0,4,7,2,338,334,4,13,12,9,9,1,4
2,123,123,0,4,7,2,339,335,4,13,12,9,9,1,4
2,123,123,0,4,7,2,340,336,4,13,12,9,9,1,4
2,123,123,0,4,7,2,340,336,4,13,12,9,9,1,4
2,123,123,0,4,7,2,340,336,4,13,12,9,9,1,4
