NoGenSM,NoSM,NoPubSM,NoProSM,NoPriSM,NoDefSM,NoGenM,NoM,NoPubM,NoProM,NoPriM,NoDefM,NoAM,NoPubAM,NoProAM,NoDefAM
1.211676772,5.107209849,4.314009911,0.193799341,1.189097715,1.152643321,2.507598466,13.12117067,11.22717882,3.815383102,1.764016224,1.39514699,3.492656559,3.469205341,0.326196257,0.247521302
1.212383341,5.108001947,4.314633686,0.193828996,1.189449273,1.152818782,2.507964258,13.12087446,11.22702401,3.815961299,1.763903237,1.395355045,3.490386832,3.466913298,0.32624581,0.247559175
1.212545726,5.102891583,4.31276295,0.193858664,1.189305976,1.152994323,2.508326718,13.12272648,11.2285945,3.816542247,1.764163069,1.395563194,3.49090831,3.467433632,0.326295386,0.247597065
1.212590975,5.103080554,4.312924604,0.193866084,1.189350754,1.153038221,2.508420857,13.12303961,11.22888454,3.816685043,1.764228045,1.395615246,3.491038716,3.467563752,0.326307783,0.24760654
1.192249526,5.078823184,4.345200594,0.191772275,1.13554145,1.069123805,2.36182402,13.08227696,11.18494285,3.860741242,1.746388722,1.406489139,3.528367065,3.504881296,0.326012824,0.249664974
1.192759777,5.084652289,4.347155373,0.191866103,1.137310651,1.070794358,2.363166192,13.09586069,11.19912491,3.866711216,1.742124117,1.408488834,3.53327984,3.509776262,0.326511818,0.250049987
1.192809498,5.081010344,4.3409342,0.191904087,1.138788715,1.070099436,2.363612211,13.09248996,11.19490328,3.867352008,1.743544218,1.409057454,3.53361068,3.510099463,0.326689055,0.250099477
1.193279901,5.078007869,4.337309085,0.189451813,1.138849138,1.070268132,2.363076065,13.08843383,11.1928385,3.867961519,1.743314528,1.409741129,3.526728218,3.503162421,0.326740409,0.25013909
1.194101937,5.073833381,4.333428367,0.189617143,1.135577155,1.071063699,2.364989343,13.09251363,11.19569515,3.871308442,1.743799003,1.410940094,3.524839429,3.501250089,0.326666261,0.250357298
1.194726551,5.073836744,4.333879821,0.189677371,1.135180195,1.07162541,2.365788214,13.08753243,11.19045241,3.872520972,1.745428436,1.411261896,3.52335705,3.499745603,0.326769199,0.250436788
0.94953377,4.574883616,3.419372073,0.211733822,1.990114789,0.91328759,1.752739935,10.23624647,8.732980775,2.150349955,2.568973587,1.928968841,3.512916327,3.485616173,0.190615845,0.346447009
0.945696541,4.578309809,3.419372073,0.211733822,1.998430262,0.91328759,1.752739935,10.23746903,8.733227594,2.150349955,2.571921529,1.928968841,3.512916327,3.485616173,0.190615845,0.346447009
0.953483084,4.595050438,3.422689933,0.223863247,2.02955535,0.913146837,1.754210474,10.23624768,8.733987891,2.150495089,2.560066795,1.928680712,3.512386815,3.48510097,0.190586765,0.346393721
0.953091695,4.594612301,3.421667836,0.223793598,2.030962586,0.912865524,1.753699067,10.23508082,8.732977002,2.149854997,2.559690469,1.928104839,3.51186112,3.484608026,0.190528646,0.346287219
0.950370284,4.605149773,3.420208858,0.223689245,2.061310148,0.912444042,1.752932789,10.23324134,8.730440311,2.148895928,2.561628579,1.927241994,3.51024616,3.482998342,0.190441567,0.346127649
0.95019454,4.608309855,3.425129859,0.223515649,2.0618864,0.911742866,1.751657873,10.22893055,8.725618315,2.151942703,2.560923954,1.925806482,3.507559503,3.480320485,0.1902967,0.34586219
0.949002112,4.608444844,3.425837524,0.223515649,2.060955311,0.911742866,1.751657873,10.23173862,8.727740966,2.151942703,2.562518756,1.925806482,3.507559503,3.480320485,0.1902967,0.34586219
0.949626783,4.609691332,3.429048479,0.228968105,2.066944925,0.909090264,1.746585711,10.22192331,8.713813,2.144716706,2.565114664,1.922870477,3.496275537,3.469080493,0.189720518,0.345217712
1.018490878,4.86564988,3.773506769,0.225113448,2.052870808,0.884338838,1.784710232,10.11351087,8.617983494,2.113108984,2.526206367,1.853033472,3.471012956,3.445986713,0.191157651,0.344826245
1.022720077,4.828081696,3.756861287,0.222153168,2.027199692,0.881270356,1.775885236,10.02909907,8.539789764,2.086467687,2.507826621,1.833535441,3.446449733,3.420182016,0.188692701,0.348723443
0.75695744,6.030236788,5.404214752,0.21162083,1.143866778,0.78485975,0.230545924,12.02650188,9.154647486,2.239232511,4.379392651,1.947444307,4.358913173,4.314679592,0.19118608,0.567086733
0.750356915,6.531455388,5.949340382,0.23765699,1.193561741,0.75750774,0.330641029,11.75018559,8.988204502,2.213338763,4.210626039,2.001406088,4.195085497,4.153351426,0.189579851,0.53902239
0.862443122,5.76161459,5.149178802,0.225582187,1.279489661,0.73736222,0.420442145,11.61728933,8.911218564,2.032015671,4.127412466,1.973769232,4.126563054,4.084902809,0.191584064,0.527605333
0.874574166,5.756907152,5.143824586,0.225228331,1.27820244,0.739199843,0.426039087,11.65583729,8.918815829,2.04238594,4.166830045,1.975718099,4.121555014,4.079972662,0.191284192,0.526774542
0.904083451,5.890848594,5.270643151,0.224989032,1.272132214,0.790170187,0.334586522,11.60929304,8.857423888,2.016490502,4.163847903,1.93351543,4.086894632,4.047100882,0.189920673,0.520397645
0.896040873,5.763520687,5.151749951,0.239065347,1.277500362,0.755663128,1.065589884,11.36319585,8.788939608,1.953635686,3.96884671,1.837277355,4.011947792,3.975207797,0.188892142,0.493023758
0.994870186,11.66239383,10.69167415,0.266569573,2.424630307,0.671918587,1.24750038,11.69224951,9.021704995,2.174506221,4.262092621,1.50293864,3.739707279,3.69273237,0.531932073,0.255889742
0.969008874,11.74485747,10.76841194,0.266001119,2.456994237,0.671929173,1.247423902,11.60892022,9.040162039,2.173063413,4.118535141,1.504787743,3.730076465,3.683079936,0.531382715,0.255417512
1.371188901,11.37887772,10.4137001,0.259158724,2.404843324,0.664660007,1.27049974,11.72256013,9.267121064,2.305880745,3.968894072,1.535016482,4.424809562,4.38647887,0.524706502,0.253615217
1.386814833,11.43833376,10.4848393,0.257863284,2.396870544,0.6660467,1.271155997,11.71589877,9.240265398,2.313126889,4.003862379,1.540616013,4.405413893,4.36584899,0.534245011,0.252258571
1.597440866,1.953283905,1.591152831,0.162427172,0.684708509,0.357596111,0.378402086,6.919252295,6.25292993,0.893491231,1.218796864,0.303985194,4.267848385,4.257830587,0.240515192,0.185378824
1.509032805,1.954004185,1.596496561,0.152322244,0.694763942,0.365166942,0.619058703,6.860366218,6.26167321,0.868282541,1.097744538,0.291902671,4.088968628,4.078977323,0.237302245,0.177056102
1.511498272,1.974612559,1.597732885,0.152254327,0.734328154,0.365004755,0.618796714,6.868386788,6.259792055,0.881111719,1.109392151,0.291773234,4.08804263,4.078061282,0.237196262,0.176976863
1.505024605,1.977308109,1.601417644,0.151513191,0.732174708,0.365487937,0.615936505,6.849360197,6.235969955,0.878928191,1.1099998,0.291788525,4.227239125,4.217872286,0.236039754,0.178567136
1.449430863,2.164701051,1.654735425,0.145045035,0.968190741,0.36563323,0.585916475,8.447939001,7.80348778,0.885467618,1.218207127,0.378426293,5.761052811,5.754495426,0.243536674,0.172288573
1.383230223,2.065158283,1.595008448,0.137438261,0.909044545,0.352482217,0.578242379,8.1638731,7.497686158,0.968481487,1.21014759,0.3933969,5.496671359,5.490344685,0.233678553,0.163231936
1.455825018,2.095273297,1.60801425,0.134222691,0.859815434,0.44032263,0.572340322,13.18509641,12.21539157,1.246690658,1.270866823,0.620568537,9.768287792,9.765344493,0.228301957,0.162612906
1.339259218,2.912151275,2.627718535,0.126040845,0.783668568,0.408797179,0.535987684,12.21876804,11.29702591,1.133025102,1.270186953,0.593182322,8.737168125,8.734294314,0.206195169,0.15023696
1.343982378,2.838399373,2.561505799,0.129676059,0.766745581,0.393641952,0.530686779,11.98716928,11.06449406,1.152541116,1.272367115,0.569626953,8.468284911,8.465502138,0.196076236,0.147120582
1.4304455,1.929705972,1.457738246,0.154545618,0.792517823,0.383999402,0.543556188,12.68646896,11.76120681,1.176195879,1.358841344,0.539722326,8.222024911,8.219319464,0.186358041,0.142468342
0.091795182,5.585759087,5.495387123,0,0.119448632,0.201948649,0.269585937,12.63027145,12.40932991,0.466451637,0.379080909,1.148071842,0.692586859,0.661184389,0.067288335,0.209412338
0.091765447,5.58442355,5.494089804,0,0.119409917,0.201883315,0.270531513,12.64591307,12.42418269,0.468462279,0.37895828,1.148435875,0.717022796,0.686863215,0.067266584,0.209344849
0.091765447,5.58442355,5.494089804,0,0.119409917,0.201883315,0.270531513,12.64882161,12.42637774,0.468462279,0.37895828,1.148499942,0.731099337,0.701587242,0.067266584,0.209344849
0.091765447,5.58442355,5.494089804,0,0.119409917,0.201883315,0.270531513,12.65100125,12.42857794,0.468462279,0.37895828,1.148499942,0.731099337,0.701587242,0.067266584,0.209344849
0.091676414,5.579039867,5.488791571,0,0.119293998,0.201687695,0.270287721,12.64636931,12.42496277,0.468487492,0.378591103,1.144051253,0.730727353,0.7012703,0.067201459,0.209142772
0.091558106,5.571885781,5.481751043,0,0.119139963,0.20142775,0.269963679,12.64474083,12.42396182,0.468762664,0.378103191,1.142739042,0.729823373,0.700394335,0.067114918,0.208874245
0.091646794,5.577248763,5.487028896,0,0.119255433,0.201622614,0.270206602,12.70457352,12.48486639,0.469462649,0.378468948,1.142216051,0.729613897,0.700126538,0.067179792,0.209075543
0.091469674,5.566538239,5.476488389,0,0.119024827,0.201233449,0.269721404,12.72871214,12.50917041,0.46878682,0.377738492,1.140256831,0.730097994,0.70085454,0.067050232,0.208673527
0.091352164,5.559432073,5.469495035,0,0.118871831,0.200975255,0.27379043,12.7192951,12.50110005,0.468337629,0.377253864,1.136628541,0.730108979,0.700992871,0.066964274,0.208406801
0.091352164,5.594724603,5.504791868,0,0.118871831,0.200975255,0.271777528,12.71876474,12.50098537,0.468337629,0.377253864,1.141278643,0.730108979,0.700992871,0.066964274,0.208406801
