NoGenSM,NoSM,NoPubSM,NoProSM,NoPriSM,NoDefSM,NoGenM,NoM,NoPubM,NoProM,NoPriM,NoDefM,NoAM,NoPubAM,NoProAM,NoDefAM
2696,12715,8861,167,2221,1466,7990,66947,54217,4902,4699,3129,7628,6956,457,215
2697,12710,8857,167,2220,1466,7989,66933,54208,4901,4695,3129,7626,6954,457,215
2696,12703,8853,167,2217,1466,7989,66921,54196,4901,4695,3129,7626,6954,457,215
2696,12703,8853,167,2217,1466,7988,66917,54193,4900,4695,3129,7626,6954,457,215
2594,12142,8671,154,2041,1276,7639,65029,52809,4675,4514,3031,7444,6793,445,206
2583,12136,8666,153,2040,1277,7608,64945,52753,4669,4496,3027,7441,6790,445,206
2584,12119,8655,153,2037,1274,7606,64903,52717,4670,4488,3028,7437,6785,446,206
2585,12105,8647,149,2035,1274,7600,64888,52707,4670,4482,3029,7434,6782,446,206
2582,12095,8641,149,2033,1272,7587,64841,52667,4666,4479,3029,7429,6778,445,206
2578,12080,8634,149,2025,1272,7589,64797,52631,4662,4479,3025,7427,6776,445,206
561,3607,2256,34,994,323,1423,18838,14718,1467,1377,1276,1425,1202,91,132
559,3613,2256,34,1000,323,1423,18843,14719,1467,1381,1276,1425,1202,91,132
578,3651,2261,35,1032,323,1436,18856,14731,1472,1377,1276,1427,1204,91,132
577,3652,2261,35,1033,323,1436,18872,14743,1472,1381,1276,1431,1208,91,132
577,3678,2262,35,1058,323,1436,18883,14747,1472,1388,1276,1431,1208,91,132
579,3688,2271,35,1059,323,1436,18892,14752,1474,1390,1276,1431,1208,91,132
577,3688,2272,35,1058,323,1436,18899,14757,1474,1392,1276,1431,1208,91,132
582,3733,2301,36,1072,324,1436,18995,14821,1474,1412,1288,1435,1211,91,133
704,4084,2554,36,1126,368,1559,19455,15181,1494,1434,1346,1528,1291,95,142
730,4158,2618,36,1130,374,1605,19659,15354,1493,1448,1364,1594,1355,95,144
1100,8373,5820,133,1572,848,227,49976,38716,3705,5184,2371,6169,5937,132,100
1208,10080,7243,166,1772,899,429,54567,42047,4063,5726,2731,6420,6160,146,114
1374,9957,6765,156,2131,905,512,57835,44454,4269,6176,2936,6655,6363,162,130
1367,9991,6787,156,2138,910,518,58135,44648,4311,6234,2942,6671,6379,162,130
1441,10539,7102,166,2209,1062,490,60179,46187,4394,6563,3035,6997,6683,169,145
1635,11577,7847,195,2440,1095,1052,66164,51067,4821,7155,3121,7824,7473,201,150
4928,21404,15747,322,3988,1347,4559,100137,77783,7540,10535,4279,10699,10088,437,174
4946,21969,15948,320,4344,1357,4579,100136,78072,7572,10194,4298,10704,10089,440,175
5918,22687,16393,331,4527,1436,5164,107369,82182,9654,10512,5021,11481,10816,468,197
6022,23295,16882,331,4612,1470,5278,108724,83141,9874,10639,5070,11548,10876,474,198
283,828,650,15,128,35,122,3283,2729,213,306,35,509,481,17,11
270,926,718,14,152,42,165,3666,3083,238,309,36,519,489,19,11
271,933,723,14,154,42,165,3678,3088,241,313,36,520,490,19,11
272,949,734,14,157,44,165,3702,3103,244,318,37,560,529,19,12
291,1078,811,15,195,57,176,4401,3659,268,399,75,686,650,22,14
318,1145,862,15,209,59,199,4931,4090,318,438,85,715,677,24,14
346,1253,916,16,248,73,222,5945,4946,366,515,118,999,957,27,15
376,1458,1097,17,262,82,272,7103,5994,379,586,144,1046,999,29,18
420,1510,1140,19,271,80,301,7643,6466,407,626,144,1068,1021,28,19
477,1499,1088,23,303,85,359,8176,6959,407,665,145,1120,1076,25,19
7,806,779,0,8,19,112,6194,5203,362,36,593,228,193,7,28
7,807,780,0,8,19,113,6209,5214,364,36,595,233,198,7,28
7,807,780,0,8,19,113,6219,5223,364,36,596,235,200,7,28
7,807,780,0,8,19,113,6220,5224,364,36,596,235,200,7,28
7,807,780,0,8,19,113,6240,5244,365,36,595,236,201,7,28
7,807,780,0,8,19,113,6256,5258,367,36,595,236,201,7,28
7,807,780,0,8,19,113,6271,5269,368,36,598,236,201,7,28
7,807,780,0,8,19,113,6277,5275,368,36,598,242,207,7,28
7,807,780,0,8,19,115,6286,5285,368,36,597,245,210,7,28
7,813,786,0,8,19,113,6296,5293,368,36,599,245,210,7,28
