Label String,Label Integer
Not buggy,0
Not buggy,0
Not buggy,0
Buggy,2
Not buggy,0
Not buggy,0
Not buggy,0
Not buggy,0
Not buggy,0
Not buggy,0
Not buggy,0
Not buggy,0
Not buggy,0
Not buggy,0
Not buggy,0
Not buggy,0
Not buggy,0
Not buggy,0
Not buggy,0
Not buggy,0
Not buggy,0
Not buggy,0
Not buggy,0
Not buggy,0
Not buggy,0
Not buggy,0
Not buggy,0
Not buggy,0
Not buggy,0
Not buggy,0
Buggy,1
Not buggy,0
Not buggy,0
Not buggy,0
Not buggy,0
Not buggy,0
Not buggy,0
Not buggy,0
Not buggy,0
Not buggy,0
Not buggy,0
Not buggy,0
Not buggy,0
Not buggy,0
Buggy,2
Not buggy,0
Not buggy,0
Not buggy,0
Not buggy,0
Not buggy,0
Not buggy,0
Not buggy,0
Not buggy,0
Not buggy,0
Not buggy,0
Not buggy,0
Not buggy,0
Not buggy,0
Not buggy,0
Not buggy,0
Not buggy,0
Not buggy,0
Not buggy,0
Not buggy,0
Not buggy,0
Not buggy,0
Not buggy,0
Not buggy,0
Not buggy,0
Not buggy,0
Buggy,1
Not buggy,0
Not buggy,0
Not buggy,0
Not buggy,0
Not buggy,0
Not buggy,0
Not buggy,0
Not buggy,0
Not buggy,0
Not buggy,0
Not buggy,0
