Component,Defective
text/translate/NumericEntityEscaper,0
concurrent/ConcurrentInitializer,0
builder/EqualsBuilder,0
Validate,0
concurrent/CallableBackgroundInitializer,0
builder/Builder,0
math/Fraction,0
text/translate/LookupTranslator,0
text/FormatFactory,0
compare/ComparatorUtils,0
concurrent/BasicThreadFactory,0
ObjectUtils,0
reflect/ConstructorUtils,0
AnnotationUtils,0
tuple/ImmutablePair,0
text/StrMatcher,0
builder/ToStringBuilder,0
CharSet,0
reflect/MethodUtils,0
util/FormattableUtils,0
CharEncoding,0
text/translate/UnicodeEscaper,0
time/DateUtils,0
tuple/MutablePair,0
math/IEEE754rUtils,0
text/StrTokenizer,0
concurrent/TimedSemaphore,0
reflect/FieldUtils,0
text/translate/CharSequenceTranslator,1
BitField,0
concurrent/AtomicSafeInitializer,0
text/translate/CodePointTranslator,0
mutable/MutableDouble,0
reflect/MemberUtils,0
text/translate/UnicodeUnescaper,0
concurrent/ConstantInitializer,0
concurrent/MultiBackgroundInitializer,0
concurrent/ConcurrentRuntimeException,0
mutable/MutableInt,0
concurrent/BackgroundInitializer,0
LocaleUtils,0
exception/ExceptionContext,0
text/translate/OctalUnescaper,0
CharRange,0
StringEscapeUtils,0
SerializationUtils,0
ClassUtils,0
builder/CompareToBuilder,0
BooleanUtils,0
MutablePair,0
mutable/Mutable,0
CharUtils,0
Pair,0
compare/NullComparator,0
text/FormattableUtils,0
text/CompositeFormat,0
compare/ReverseComparator,0
exception/ContextedException,0
compare/ComparableComparator,0
SystemUtils,0
concurrent/LazyInitializer,0
compare/FixedOrderComparator,0
event/EventUtils,0
text/ExtendedMessageFormat,0
builder/ToStringStyle,0
builder/ReflectionToStringBuilder,0
mutable/MutableLong,0
CharSequenceUtils,0
exception/CloneFailedException,0
mutable/MutableFloat,0
math/NumberUtils,0
reflect/TypeUtils,0
ImmutablePair,0
text/translate/EntityArrays,0
EnumUtils,0
builder/IDKey,0
concurrent/AtomicInitializer,0
compare/ComparatorChain,0
builder/StandardToStringStyle,0
mutable/MutableObject,0
time/DurationFormatUtils,0
exception/ContextedRuntimeException,0
CharSetUtils,0
text/translate/AggregateTranslator,0
event/EventListenerSupport,0
concurrent/ConcurrentUtils,0
text/translate/NumericEntityUnescaper,0
text/StrBuilder,0
mutable/MutableShort,0
time/FastDateFormat,0
tuple/Pair,0
Range,0
time/StopWatch,0
time/DateFormatUtils,0
builder/HashCodeBuilder,0
text/WordUtils,0
JavaVersion,0
text/StrSubstitutor,0
concurrent/ConcurrentException,0
StringUtils,0
text/StrLookup,0
RandomStringUtils,0
SerializationException,0
mutable/MutableByte,0
exception/ExceptionUtils,0
mutable/MutableBoolean,0
time/FormatCache,0
ArrayUtils,0
exception/DefaultExceptionContext,0
