NumberOfChanges,NumberConsecutiveChanges,NumberCodeBursts,TotalBurstSize,MaximumCodeBurst,NumberOfChangesEarly,NumberOfConsecutiveChangesEarly,NumberCodeBurstsEarly,TotalBurstSizeEarly,MaximumCodeBurstEarly,NumberOfChangesLate,NumberConsecutiveChangesLate,NumberCodeBurstsLate,TotalBurstSizeLate,MaximumCodeBurstLate,TimeFirstBurst,TimeLastBurst,TimeMaxBurst,PeopleTotal,TotalPeopleInBurst,MaxPeopleInBurst,ChurnTotal,TotalChurnInBurst,MaxChurnInBurst
3,2,2,3,2,0,0,0,0,0,3,2,2,3,2,366,405,366,3,3,2,127,127,112
13,12,12,13,2,13,12,12,13,2,0,0,0,0,0,85,353,277,4,4,2,1096,1096,621
3,3,3,3,1,3,3,3,3,1,0,0,0,0,0,231,267,231,1,1,1,956,956,477
11,10,10,11,2,8,8,8,8,1,3,2,2,3,2,2,429,407,3,3,1,1083,1083,536
3,3,3,3,1,3,3,3,3,1,0,0,0,0,0,250,338,250,2,2,1,745,745,735
8,8,8,8,1,8,8,8,8,1,0,0,0,0,0,2,305,2,2,2,1,308,308,104
1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,165,165,165,1,1,1,428,428,428
2,1,1,2,2,2,1,1,2,2,0,0,0,0,0,174,174,174,1,1,1,214,214,214
8,8,8,8,1,7,7,7,7,1,1,1,1,1,1,2,364,2,4,4,1,565,565,288
6,2,2,6,5,2,1,1,2,2,4,2,2,4,3,358,418,358,1,1,1,204,204,199
3,2,2,3,2,3,2,2,3,2,0,0,0,0,0,22,38,22,2,2,2,744,744,374
23,20,20,23,2,20,18,18,20,2,3,2,2,3,2,100,422,268,4,4,1,3315,3315,1166
8,7,7,8,2,8,7,7,8,2,0,0,0,0,0,2,320,141,3,3,1,210,210,152
11,6,6,11,6,11,6,6,11,6,0,0,0,0,0,165,286,200,2,2,1,1714,1714,750
6,6,6,6,1,6,6,6,6,1,0,0,0,0,0,2,320,2,3,3,1,321,321,190
1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,369,369,369,1,1,1,73,73,73
5,5,5,5,1,2,2,2,2,1,3,3,3,3,1,246,432,246,1,1,1,1163,1163,570
1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,165,165,165,1,1,1,492,492,492
4,4,4,4,1,3,3,3,3,1,1,1,1,1,1,246,411,246,2,2,1,1024,1024,506
2,2,2,2,1,2,2,2,2,1,0,0,0,0,0,267,320,267,1,1,1,481,481,477
1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,165,165,165,1,1,1,107,107,107
3,3,3,3,1,2,2,2,2,1,1,1,1,1,1,179,371,179,2,2,1,154,154,75
5,5,5,5,1,5,5,5,5,1,0,0,0,0,0,26,298,26,1,1,1,235,235,212
3,3,3,3,1,2,2,2,2,1,1,1,1,1,1,174,371,174,2,2,1,218,218,107
3,3,3,3,1,2,2,2,2,1,1,1,1,1,1,174,371,174,2,2,1,156,156,76
2,1,1,2,2,0,0,0,0,0,2,1,1,2,2,366,366,366,2,2,2,107,107,107
5,5,5,5,1,5,5,5,5,1,0,0,0,0,0,2,320,2,2,2,1,277,277,205
15,9,9,15,4,9,4,4,9,4,6,5,5,6,2,328,443,341,3,3,2,1382,1382,874
2,2,2,2,1,2,2,2,2,1,0,0,0,0,0,331,358,331,1,1,1,176,176,134
6,6,6,6,1,5,5,5,5,1,1,1,1,1,1,2,423,2,2,2,1,281,281,194
12,11,11,12,2,10,10,10,10,1,2,1,1,2,2,33,394,394,3,3,1,1496,1496,489
15,11,11,15,3,14,10,10,14,3,1,1,1,1,1,90,429,279,2,2,1,1648,1648,633
6,6,6,6,1,4,4,4,4,1,2,2,2,2,1,236,434,236,1,1,1,645,645,552
2,1,1,2,2,2,1,1,2,2,0,0,0,0,0,174,174,174,1,1,1,1378,1378,1378
3,3,3,3,1,2,2,2,2,1,1,1,1,1,1,174,371,174,2,2,1,150,150,73
10,7,7,10,3,10,7,7,10,3,0,0,0,0,0,26,304,297,1,1,1,620,620,338
6,6,6,6,1,5,5,5,5,1,1,1,1,1,1,59,364,59,3,3,1,298,298,200
2,1,1,2,2,2,1,1,2,2,0,0,0,0,0,174,174,174,1,1,1,150,150,150
4,4,4,4,1,3,3,3,3,1,1,1,1,1,1,174,371,174,2,2,1,2034,2034,985
