NumberConsecutiveChanges,NumberCodeBursts,TotalBurstSize,MaximumCodeBurst,NumberOfChangesEarly,NumberOfConsecutiveChangesEarly,NumberCodeBurstsEarly,TotalBurstSizeEarly,MaximumCodeBurstEarly,NumberOfChangesLate,NumberConsecutiveChangesLate,NumberCodeBurstsLate,TotalBurstSizeLate,MaximumCodeBurstLate,TimeFirstBurst,TimeLastBurst,TimeMaxBurst,PeopleTotal,TotalPeopleInBurst,MaxPeopleInBurst,ChurnTotal,TotalChurnInBurst,MaxChurnInBurst,NumberOfChanges
3,3,3,1,2,2,2,2,1,1,1,1,1,1,16,395,16,2,2,1,87,87,68,3
11,11,11,1,9,9,9,9,1,2,2,2,2,1,16,395,16,4,4,1,275,275,99,11
9,9,9,1,4,4,4,4,1,5,5,5,5,1,228,438,228,4,4,1,715,715,522,9
6,6,6,1,4,4,4,4,1,2,2,2,2,1,69,401,69,5,5,1,104,104,68,6
9,9,10,2,9,8,8,9,2,1,1,1,1,1,16,395,166,4,4,1,527,527,219,10
15,15,16,2,14,13,13,14,2,2,2,2,2,1,16,435,36,4,4,2,283,283,68,16
3,3,3,1,3,3,3,3,1,0,0,0,0,0,20,264,20,2,2,1,688,688,468,3
2,2,2,1,0,0,0,0,0,2,2,2,2,1,406,432,406,2,2,1,610,610,600,2
2,2,2,1,1,1,1,1,1,1,1,1,1,1,222,395,222,2,2,1,76,76,68,2
4,4,4,1,3,3,3,3,1,1,1,1,1,1,16,395,16,2,2,1,141,141,68,4
9,9,9,1,8,8,8,8,1,1,1,1,1,1,16,395,16,3,3,1,228,228,68,9
12,12,14,2,13,11,11,13,2,1,1,1,1,1,137,395,164,5,5,1,619,619,277,14
5,5,7,3,7,5,5,7,3,0,0,0,0,0,20,261,261,4,4,2,740,740,609,7
6,6,13,5,8,4,4,8,5,5,2,2,5,4,216,439,216,3,3,2,716,716,451,13
5,5,5,1,4,4,4,4,1,1,1,1,1,1,106,395,106,4,4,1,100,100,68,5
