"Component","NumberOfChanges","NumberConsecutiveChanges","NumberCodeBursts","TotalBurstSize","MaximumCodeBurst","NumberOfChangesEarly","NumberOfConsecutiveChangesEarly","NumberCodeBurstsEarly","TotalBurstSizeEarly","MaximumCodeBurstEarly","NumberOfChangesLate","NumberConsecutiveChangesLate","NumberCodeBurstsLate","TotalBurstSizeLate","MaximumCodeBurstLate","TimeFirstBurst","TimeLastBurst","TimeMaxBurst","PeopleTotal","TotalPeopleInBurst","MaxPeopleInBurst","ChurnTotal","TotalChurnInBurst","MaxChurnInBurst"
"text/translate/NumericEntityEscaper","6","6","6","6","1","4","4","4","4","1","2","2","2","2","1","242","447","242","3","3","1","109","109","75"
"IllegalClassException","2","2","2","2","1","2","2","2","2","1","0","0","0","0","0","183","277","183","2","2","1","109","109","103"
"builder/EqualsBuilder","6","6","6","6","1","3","3","3","3","1","3","3","3","3","1","89","447","89","3","3","1","34","34","16"
"Validate","15","9","9","15","3","8","6","6","8","2","7","3","3","7","3","204","443","392","5","5","3","2012","2012","860"
"text/translate/EscapeLowAsciiAsUnicode","2","2","2","2","1","2","2","2","2","1","0","0","0","0","0","231","244","231","1","1","1","138","138","69"
"NumberUtils","2","2","2","2","1","2","2","2","2","1","0","0","0","0","0","87","119","87","1","1","1","718","718","715"
"concurrent/CallableBackgroundInitializer","3","2","2","3","2","0","0","0","0","0","3","2","2","3","2","432","447","432","2","2","1","377","377","375"
"math/Fraction","5","5","5","5","1","3","3","3","3","1","2","2","2","2","1","124","447","124","3","3","1","24","24","7"
"text/translate/LookupTranslator","7","7","7","7","1","5","5","5","5","1","2","2","2","2","1","231","447","231","3","3","1","113","113","52"
"text/FormatFactory","3","3","3","3","1","1","1","1","1","1","2","2","2","2","1","2","447","2","3","3","1","22","22","16"
"ObjectUtils","9","8","8","9","2","3","3","3","3","1","6","5","5","6","2","156","447","414","3","3","1","172","172","71"
"reflect/ConstructorUtils","7","7","7","7","1","4","4","4","4","1","3","3","3","3","1","57","447","57","4","4","1","401","401","340"
"enums/Enum","2","2","2","2","1","2","2","2","2","1","0","0","0","0","0","26","108","26","1","1","1","693","693","690"
"exception/NestableRuntimeException","3","3","3","3","1","3","3","3","3","1","0","0","0","0","0","124","165","124","2","2","1","220","220","210"
"math/JVMRandom","3","3","3","3","1","3","3","3","3","1","0","0","0","0","0","85","166","85","2","2","1","195","195","182"
