Instance,S1_LOCAL_VAR_NOT_ASSIGNED,S1_LOCAL_VAR_NOT_USED,S2_SIMILAR_OBJECT_TYPE_WITH_NORMAL_GUARD,S2_SIMILAR_OBJECT_TYPE_WITH_NULL_GUARD,S4_Field_NOT_USED,S4_Field_NOT_ASSIGNED,S5_SIMILAR_PRIMITIVE_TYPE_WITH_NORMAL_GUARD,S5_SIMILAR_PRIMITIVE_TYPE_WITH_NULL_GUARD,S6_METHOD_THROWS_EXCEPTION,S7_OBJECT_USED_IN_ASSIGNMENT,S8_PRIMITIVE_USED_IN_ASSIGNMENT,S9_METHOD_CALL_WITH_NORMAL_GUARD,S10_METHOD_CALL_WITH_NULL_GUARD,S11_FAULTY_CLASS_EXCEPTION_TYPE,S12_METHOD_CALL_WITH_TRY_CATCH,S15_HAS_OBJECTIVE_METHOD_CALL,LE1_EXISTS_RELATED_BOOLEAN_EXPRESSION,LE2_IS_BOOLEAN_METHOD_PARAM_TYPE_VAR,LE3_IS_COMPATIBLE_VAR_NOT_INCLUDED,LE4_EXISTS_LOCAL_UNUSED_VARIABLES,LE5_COMPLEX_REFERENCE,LE6_HAS_NEGATION,LE7_SIMPLE_VAR_OR_METHOD_IN_LOGIC,LE8_SCOPE_VAR_USED_OTHER_BOOLEXPER,LE9_NORMAL_CHECK,LE9_NULL_CHECK,LE9_MIX_CHECK,LE10_ATOMIC_EXPRESSION_SAME_INVOCATION_TARGET,LE10_ATOMIC_EXPRESSION_COMPARISION_SAME_LEFT,LE10_ATOMIC_EXPRESSION_COMPARISION_SAME_RIGHT,LE10_ATOMIC_EXPRESSION_MULTIPLE_VAR_AS_BOOLEAN,LE10_ATOMIC_EXPRESSION_USED_IN_INVOCATION_COMPARISION_VARIABLE,V1_IS_TYPE_COMPATIBLE_METHOD_CALL_PARAM_RETURN,V2_HAS_VAR_SIM_NAME_COMP_TYPE,V2_HAS_VAR_SIM_NAME,V3_HAS_CONSTANT,V4B_USED_MULTIPLE_AS_PARAMETER,V4_FIRST_TIME_USED_AS_PARAMETER,V5_HAS_VAR_IN_TRANSFORMATION,V6_IS_METHOD_RETURN_TYPE_VAR,V16_IS_METHOD_PARAMETER_TYPE_VAR,V8_VAR_PRIMITIVE,V8_VAR_OBJECT,V9_VAR_TYPE_Similar_Literal,V10_VAR_TYPE_Similar_VAR,V11_VAR_COMPATIBLE_TYPE_IN_CONDITION,V12_VAR_Invocation_VAR_REPLACE_BY_VAR,V13_VAR_Invocation_VAR_REPLACE_BY_INVOCATION,V14_VAR_INSTANCE_OF_CLASS,V15_VAR_LAST_THREE_SAME_TYPE_LOC,V17_VAR_IS_ENUMERATION,V18_Has_Method_Similar_In_Name,V19_With_Special_Name,V1_LOCAL_VAR_NOT_USED,V1_LOCAL_VAR_NOT_ASSIGNED,V2_SIMILAR_OBJECT_TYPE_WITH_NORMAL_GUARD,V5_SIMILAR_PRIMITIVE_TYPE_WITH_NORMAL_GUARD,V2_SIMILAR_OBJECT_TYPE_WITH_NULL_GUARD,V5_SIMILAR_PRIMITIVE_TYPE_WITH_NULL_GUARD,V4_Field_NOT_USED,V4_Field_NOT_ASSIGNED,V7_OBJECT_USED_IN_ASSIGNMENT,V8_PRIMITIVE_USED_IN_ASSIGNMENT,M1_OVERLOADED_METHOD,M2_SIMILAR_METHOD_WITH_SAME_RETURN,M3_ANOTHER_METHOD_WITH_PARAMETER_RETURN_COMP,M4_PARAMETER_RETURN_COMPABILITY,M5_MI_WITH_COMPATIBLE_VAR_TYPE,M6_INV_Invocation_INV_REPLACE_BY_VAR,M7_INV_Invocation_INV_REPLACE_BY_INV,M8_RETURN_PRIMITIVE,M9_RETURN_OBJECTIVE,M10_WRAPTTED_IN_OTHER_CALLS,M11_Satrt_With_Get,M12_Has_Var_Similar_In_Name,M13_Argument_Has_Primitive,M1_LOCAL_VAR_NOT_USED,M1_LOCAL_VAR_NOT_ASSIGNED,M2_SIMILAR_OBJECT_TYPE_WITH_NORMAL_GUARD,M5_SIMILAR_PRIMITIVE_TYPE_WITH_NORMAL_GUARD,M2_SIMILAR_OBJECT_TYPE_WITH_NULL_GUARD,M4_Field_NOT_USED,M4_Field_NOT_ASSIGNED,M7_OBJECT_USED_IN_ASSIGNMENT,M8_PRIMITIVE_USED_IN_ASSIGNMENT,M9_METHOD_CALL_WITH_NORMAL_GUARD,M10_METHOD_CALL_WITH_NULL_GUARD,M12_METHOD_CALL_WITH_TRY_CATCH,C1_SAME_TYPE_CONSTANT,C2_SAME_TYPE_CONSTANT_VAR,C2_SAME_TYPE_VAR,C3_TYPEACCESS_ACTUAL_VAR,CON1_OVERLOADED_CONSTRUCTOR,CON2_SIMILAR_CONSTRUCTOR,CON3_WRAPTTED_IN_OTHER_CALLS,CON4_Return_Primitive,CON5_Of_Class,CON6_Argument_Has_Primitive,CON9_METHOD_CALL_WITH_NORMAL_GUARD,CON10_METHOD_CALL_WITH_NULL_GUARD,CON12_METHOD_CALL_WITH_TRY_CATCH,O1_IS_LOGICAL,O1_IS_BIT,O1_IS_COMPARE,O1_IS_SHIFT,O1_IS_MATH,O1_IS_OTHERS,O2_LOGICAL_CONTAIN_NOT,O3_CONTAIN_NULL,O3_CONTAIN_01,O4_COMPARE_IN_CONDITION,O5_IS_MATH_ROOT,Label
Bears,0,0,2,7,1,6,0,0,0,0,0,0,0,0,0,1,7,5,0,7,12,0,0,7,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,17,17,4,13,3,3,0,0,0,0,0,0,13,0,0,0,2,0,7,0,1,6,0,0,0,0,0,0,1,0,0,5,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,1,0,0,0,0,13,0,17,0,17,13,0,17,17,5,17,Unrepaired
Bears,0,2,13,14,1,7,0,0,0,2,2,0,1,0,0,8,5,3,0,3,6,0,0,6,0,0,0,0,0,0,0,0,24,0,3,2,0,9,2,34,34,18,19,10,17,0,2,4,0,4,0,16,0,2,0,13,0,14,0,1,7,2,2,2,8,9,0,6,1,1,19,5,7,6,0,11,2,0,9,0,8,0,0,2,0,0,1,0,12,0,8,0,0,0,0,0,0,0,0,0,0,0,28,33,28,29,1,0,33,29,5,29,Unrepaired
Bears,1,6,50,19,4,22,18,3,39,7,18,7,0,0,0,16,28,25,4,4,30,2,3,28,2,0,3,2,0,0,0,2,62,4,14,9,0,29,22,94,94,71,38,53,61,4,4,0,0,0,0,54,17,6,1,50,18,19,3,4,22,7,18,6,12,23,6,15,0,4,39,10,26,15,2,38,3,0,17,2,4,0,4,3,2,7,0,0,18,0,18,0,0,1,0,3,0,5,0,0,0,74,0,100,0,64,19,46,100,61,26,64,Cardumen
Bears,1,6,50,19,4,22,18,3,39,7,18,7,0,0,0,16,28,25,4,4,30,2,3,28,2,0,3,2,0,0,0,2,62,4,14,9,0,29,22,94,94,71,38,53,61,4,4,0,0,0,0,54,17,6,1,50,18,19,3,4,22,7,18,6,12,23,6,15,0,4,39,10,26,15,2,38,3,0,17,2,4,0,4,3,2,7,0,0,18,0,18,0,0,1,0,3,0,5,0,0,0,74,0,100,0,64,19,46,100,61,26,64,jMutRepair
Bears,1,6,50,19,4,22,18,3,39,7,18,7,0,0,0,16,28,25,4,4,30,2,3,28,2,0,3,2,0,0,0,2,62,4,14,9,0,29,22,94,94,71,38,53,61,4,4,0,0,0,0,54,17,6,1,50,18,19,3,4,22,7,18,6,12,23,6,15,0,4,39,10,26,15,2,38,3,0,17,2,4,0,4,3,2,7,0,0,18,0,18,0,0,1,0,3,0,5,0,0,0,74,0,100,0,64,19,46,100,61,26,64,jMutRepair
Bears,1,6,50,19,4,22,18,3,39,7,18,7,0,0,0,16,28,25,4,4,30,2,3,28,2,0,3,2,0,0,0,2,62,4,14,9,0,29,22,94,94,71,38,53,61,4,4,0,0,0,0,54,17,6,1,50,18,19,3,4,22,7,18,6,12,23,6,15,0,4,39,10,26,15,2,38,3,0,17,2,4,0,4,3,2,7,0,0,18,0,18,0,0,1,0,3,0,5,0,0,0,74,0,100,0,64,19,46,100,61,26,64,jKali
Bears,1,6,50,19,4,22,18,3,39,7,18,7,0,0,0,16,28,25,4,4,30,2,3,28,2,0,3,2,0,0,0,2,62,4,14,9,0,29,22,94,94,71,38,53,61,4,4,0,0,0,0,54,17,6,1,50,18,19,3,4,22,7,18,6,12,23,6,15,0,4,39,10,26,15,2,38,3,0,17,2,4,0,4,3,2,7,0,0,18,0,18,0,0,1,0,3,0,5,0,0,0,74,0,100,0,64,19,46,100,61,26,64,jGenProg
Bears,1,6,50,19,4,22,18,3,39,7,18,7,0,0,0,16,28,25,4,4,30,2,3,28,2,0,3,2,0,0,0,2,62,4,14,9,0,29,22,94,94,71,38,53,61,4,4,0,0,0,0,54,17,6,1,50,18,19,3,4,22,7,18,6,12,23,6,15,0,4,39,10,26,15,2,38,3,0,17,2,4,0,4,3,2,7,0,0,18,0,18,0,0,1,0,3,0,5,0,0,0,74,0,100,0,64,19,46,100,61,26,64,Kali
Bears,1,6,50,19,4,22,18,3,39,7,18,7,0,0,0,16,28,25,4,4,30,2,3,28,2,0,3,2,0,0,0,2,62,4,14,9,0,29,22,94,94,71,38,53,61,4,4,0,0,0,0,54,17,6,1,50,18,19,3,4,22,7,18,6,12,23,6,15,0,4,39,10,26,15,2,38,3,0,17,2,4,0,4,3,2,7,0,0,18,0,18,0,0,1,0,3,0,5,0,0,0,74,0,100,0,64,19,46,100,61,26,64,Arja
Bears,3,13,68,2,10,20,2,0,59,12,12,8,0,0,0,28,19,18,3,0,21,1,4,21,3,0,1,0,1,1,0,1,91,8,9,29,1,27,60,91,91,43,74,42,59,4,12,1,0,12,0,63,2,13,3,68,2,2,0,10,20,12,12,26,27,62,7,37,2,16,70,4,60,6,1,19,8,2,53,0,0,0,0,7,5,8,0,0,28,0,22,0,0,1,2,0,0,2,0,0,0,100,45,100,0,100,0,45,100,100,22,100,Unrepaired
Bears,0,0,6,0,2,2,2,0,9,0,1,0,0,0,0,1,7,5,2,0,7,0,1,4,1,0,0,0,0,0,0,0,9,0,0,2,2,3,4,11,11,6,7,4,3,1,0,0,0,3,0,1,2,0,0,6,2,0,0,2,2,0,1,2,0,7,0,7,0,0,8,1,6,0,2,1,0,0,4,0,0,2,2,0,0,0,0,0,6,0,3,0,0,0,2,2,0,2,0,0,0,9,0,12,0,12,0,0,0,0,6,12,Unrepaired
