Instance,NoGenSM,NoSM,NoPubSM,NoProSM,NoPriSM,NoDefSM,NoGenM,NoM,NoPubM,NoProM,NoPriM,NoDefM,NoAM,NoPubAM,NoProAM,NoDefAM,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,Label
Bears,0.262108262,0.923076923,0.643874644,0.008547009,0.222222222,0.048433048,0.381766382,4.623931624,3.766381766,0.327635328,0.378917379,0.150997151,0.98005698,0.888888889,0.088319088,0.002849003,9.67551963,0.799076212,0.222863741,12.55773672,28.00923788,63.9630485,5.036951501,7.846420323,6.416859122,1.070360473,210.4341801,0.555051581,1.009237875,0.019458377,0.407589067,0.065819861,0.071593533,14.88632499,none
Bears,0.004203936,0.349821109,0.238237925,0.000894454,0.11068873,0,0.016502683,2.704338104,1.754695886,0.472406082,0.476028623,0.001207513,0.047942755,0.036135957,0.011806798,0,4.352549195,0.19293381,0.739982111,10.94923971,24.9072898,13.82374776,4.198837209,6.844856887,3.010733453,1.4045271,181.7748211,0.41644135,0.123658318,0.00509839,0.595010057,0.001878354,0.003756708,39.64097049,Cardumen
Bears,0,0.421052632,0.421052632,0,0,0,0,2.210526316,1.842105263,0.105263158,0.263157895,0,0.631578947,0.631578947,0,0,3.684210526,1.052631579,0.210526316,3.421052632,7.578947368,6.210526316,1.631578947,1.894736842,3.421052632,1.094444444,55.15789474,0.712280702,0.736842105,0.145946305,0.580987726,0.052631579,0.052631579,7.823375747,Arja
Bears,0.333333333,0.555555556,0.333333333,0,0.222222222,0,0.111111111,11.66666667,4.444444444,5,2.222222222,0,0,0,0,0,14.11111111,0.666666667,0.111111111,5.333333333,25.55555556,137.5555556,0.777777778,4.555555556,5.888888889,0.59054253,372.2222222,0.84017094,0.888888889,0.021367521,0.330909225,0.333333333,0.555555556,15.5542997,none
Bears,0,0.384615385,0.384615385,0,0,0,0.076923077,8,2.923076923,1,4.076923077,0,0.076923077,0.076923077,0,0,9.384615385,0.769230769,0.153846154,7.923076923,35,115.6153846,0.923076923,7,3.923076923,1.151186286,360,0.58974359,0.153846154,0,0.317678442,0,0,22.67396549,Arja
Bears,0,0,0,0,0,0,0,10.5,9.25,0,1,0.25,0,0,0,0,12,1,0,10.75,29.5,75.25,1.25,10,10.25,0.517424242,141.25,0.95,0.25,0,0.41856199,0,0,11.10072464,none
Bears,0,13.25,11.75,0,1.5,0,0,0,0,0,0,0,0,0,0,0,14.5,1,0,1,21.75,129.5,0.5,0.5,11.75,1.75,273,0,0,0,0.466620711,0,0,21.96654412,none
Bears,0.20754717,1.254716981,0.537735849,0,0.339622642,0.377358491,0.330188679,7.349056604,5.566037736,0.330188679,0.490566038,0.962264151,0.29245283,0.235849057,0.009433962,0.047169811,10.97169811,0.886792453,0.235849057,9.688679245,36.81132075,79.93396226,4.528301887,5.726415094,7.188679245,1.024874705,421.6792453,0.544755848,0.849056604,0.062457101,0.389458161,0.094339623,0.141509434,42.99955664,none
Bears,0.063953488,0.343023256,0.25,0,0.093023256,0,0.226744186,4.552325581,4.093023256,0.186046512,0.26744186,0.005813953,0.790697674,0.773255814,0.01744186,0,8.279773157,0.752362949,0.277882798,10.15689981,23.76559546,40.64272212,3.587901701,6.655954631,6.618147448,1.06352069,180.4272212,0.606538897,0.657844991,0.017436401,0.472966721,0.020793951,0.020793951,18.45257863,none
Bears,0.140056022,2.355742297,2.31372549,0.005602241,0.036414566,0,0.229691877,3.462184874,3.117647059,0.291316527,0.053221289,0,1.43977591,1.425770308,0.014005602,0,8.057216055,0.983774552,0.017079419,10.62169086,17.94534586,106.6122972,3.208368915,7.49530316,6.673783091,0.99014936,117.4210077,0.493162168,1.343296328,0.152925845,0.494382451,0.380017079,0.401366354,10.3413304,none
Bears,0,0.181208054,0.181208054,0,0,0,0.805369128,3.738255034,3.724832215,0,0.013422819,0,0.11409396,0.11409396,0,0,6.818791946,0.154362416,0.872483221,9.120805369,13.81879195,20.65100671,2.463087248,6.67114094,5.067114094,1.484888319,71.39597315,0.350630718,0.791946309,0.030793525,0.53861458,0.040268456,0.040268456,8.942351257,none
Bears,0,0.714285714,0.428571429,0,0.285714286,0,2,35.28571429,19.71428571,8.142857143,7.428571429,0,0,0,0,0,40.28571429,1.857142857,0,11.85714286,71.28571429,1081.142857,1.571428571,10.28571429,23.14285714,0.818048423,1628.285714,0.614505495,0.428571429,0.337488979,0.346129212,1,13.57142857,26.89602754,none
