Instance,NoGenSM,NoSM,NoPubSM,NoProSM,NoPriSM,NoDefSM,NoGenM,NoM,NoPubM,NoProM,NoPriM,NoDefM,NoAM,NoPubAM,NoProAM,NoPriAM,NoDefAM,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,Label
Bears/apache-jackrabbit-oak/344414751-344705279,0.262108262,0.923076923,0.643874644,0.008547009,0.222222222,0.048433048,0.381766382,4.623931624,3.766381766,0.327635328,0.378917379,0.150997151,0.98005698,0.888888889,0.088319088,0,0.002849003,9.67551963,0.799076212,0.222863741,12.55773672,28.00923788,63.9630485,5.036951501,7.846420323,6.416859122,1.070360473,210.4341801,0.555051581,1.009237875,0.019458377,0.407589067,0.065819861,0.071593533,14.88632499,unrepaired
Bears/traccar-traccar/309459456-309718203,0.007029877,0.370826011,0.253075571,0,0.117750439,0,0.028119508,2.639718805,1.616871705,0.506151142,0.514938489,0.001757469,0.052724077,0.038664323,0.014059754,0,0,4.323374341,0.175746924,0.753954306,11.10017575,25.43760984,14.80140598,4.265377856,6.947275923,2.889279438,1.404616666,188.1089631,0.412424977,0.130052724,0.004770274,0.591507658,0.001757469,0.003514938,40.27672037,unrepaired
Bears/traccar-traccar/212058933-212061222,0.003960396,0.334653465,0.223762376,0.001980198,0.108910891,0,0.007920792,2.720792079,1.81980198,0.44950495,0.451485149,0,0.043564356,0.031683168,0.011881188,0,0,4.333333333,0.188081937,0.744878957,11.02513966,24.95158287,13.87895717,4.246741155,6.878957169,2.968342644,1.403121803,183.1052142,0.415583881,0.123836127,0.005054536,0.593985485,0.001862197,0.003724395,39.79582498,repaired
Bears/traccar-traccar/207561899-207563891,0.004016064,0.333333333,0.222891566,0.002008032,0.108433735,0,0.006024096,2.706827309,1.809236948,0.447791165,0.449799197,0,0.040160643,0.02811245,0.012048193,0,0,4.329516539,0.193384224,0.740458015,10.99745547,24.74300254,13.44465649,4.231552163,6.86259542,2.99173028,1.401488064,180.4160305,0.417448783,0.121501272,0.005179935,0.595080374,0.001908397,0.003816794,39.50634839,unrepaired
Bears/traccar-traccar/313257147-313260584,0.007017544,0.368421053,0.252631579,0,0.115789474,0,0.028070175,2.647368421,1.614035088,0.507017544,0.524561404,0.001754386,0.052631579,0.038596491,0.014035088,0,0,4.329598506,0.188608777,0.743697479,11.02661064,24.94677871,13.81139122,4.239962652,6.887488329,2.964052288,1.401695114,183.1503268,0.416386228,0.123716153,0.005068694,0.594022034,0.001867414,0.003734827,39.82223508,unrepaired
Bears/traccar-traccar/225874246-226678972,0.003929273,0.337917485,0.231827112,0.001964637,0.104125737,0,0.007858546,2.754420432,1.83497053,0.453831041,0.465618861,0,0.05108055,0.039292731,0.011787819,0,0,4.340626179,0.191625802,0.741606941,10.99132403,24.9392682,13.74047529,4.221425877,6.868728782,2.987174651,1.401826309,182.8442097,0.416668382,0.122595247,0.005119362,0.594397584,0.001886081,0.003772161,39.8287651,unrepaired
Bears/traccar-traccar/305623200-305713931,0.005300353,0.363957597,0.250883392,0,0.113074205,0,0.028268551,2.639575972,1.625441696,0.496466431,0.51590106,0.001766784,0.049469965,0.038869258,0.010600707,0,0,4.335405657,0.188995959,0.74386074,11.00839291,25.02269195,13.91234069,4.229095431,6.880012434,2.971091079,1.402747074,183.7426173,0.415668343,0.124028598,0.005062392,0.594212099,0.001865092,0.003730183,39.92382591,repaired
Bears/traccar-traccar/262940348-263330667,0.003642987,0.364298725,0.249544627,0,0.114754098,0,0.027322404,2.619307832,1.650273224,0.488160291,0.479052823,0.001821494,0.051001821,0.04007286,0.010928962,0,0,4.328730749,0.188263409,0.744291025,11.00955921,25.02947424,13.98141264,4.2275624,6.880775358,2.963356346,1.403105198,183.6011683,0.415468769,0.12480085,0.005045141,0.594051617,0.001858736,0.003717472,39.94712434,unrepaired
Bears/traccar-traccar/219945896-220224837,0.003944773,0.33530572,0.228796844,0.001972387,0.104536489,0,0.007889546,2.75147929,1.830374753,0.453648915,0.467455621,0,0.043392505,0.031558185,0.01183432,0,0,4.33465949,0.190030424,0.743037678,10.98783056,24.93634449,13.91247367,4.216943599,6.868242453,2.976129183,1.403257335,182.8322022,0.41571625,0.123800608,0.005081743,0.594273189,0.001872221,0.003744442,39.80392859,unrepaired
Bears/traccar-traccar/273236004-273269445,0.003629764,0.368421053,0.252268603,0,0.11615245,0,0.02722323,2.606170599,1.613430127,0.497277677,0.493647913,0.001814882,0.050816697,0.039927405,0.010889292,0,0,4.328565506,0.189054726,0.743573798,10.99233002,24.96455224,13.91915423,4.217247098,6.872512438,2.965588723,1.403486591,183.0234245,0.415415839,0.124792703,0.005063966,0.59406892,0.001865672,0.003731343,39.833883,unrepaired
